tissue	celltype_major	celltype_sub	patient	expression_group	N
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient14	MT	34
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient15	MT	3
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient16	MT	11
metastasis tumor	Monocyte	hC45_Mono-FCGR3A	patient17	MT	8
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient08	MT	5
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient09	MT	1
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient10	MT	5
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient11	MT	26
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient12	MT	16
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient13	MT	6
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient14	MT	38
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient15	MT	4
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient16	MT	13
metastasis tumor	Monocyte	hC46_Mono-CD14|FCGR3A	patient17	MT	15
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient08	MT	1
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient09	MT	2
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient10	MT	2
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient11	MT	3
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient12	MT	2
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient13	MT	19
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient14	MT	5
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient15	MT	4
metastasis tumor	Monocyte	hC47_Mono-CD3E	patient16	MT	4
primary normal	Macrophage	hC48_Mph-FCN1	patient08	PN	1
primary normal	Macrophage	hC48_Mph-FCN1	patient11	PN	3
primary normal	Macrophage	hC48_Mph-FCN1	patient13	PN	6
primary normal	Macrophage	hC48_Mph-FCN1	patient14	PN	7
primary normal	Macrophage	hC48_Mph-FCN1	patient15	PN	1
primary normal	Macrophage	hC48_Mph-FCN1	patient16	PN	1
primary normal	Macrophage	hC48_Mph-FCN1	patient17	PN	3
primary normal	Macrophage	hC49_Mph-NLRP3	patient08	PN	1
primary normal	Macrophage	hC49_Mph-NLRP3	patient09	PN	3
primary normal	Macrophage	hC49_Mph-NLRP3	patient11	PN	28
