p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
2.49069838130631e-180	1.25829462489379	0.261	0.076	5.96447541371423e-176	10	RMDN3
4.23903760981991e-180	1.21675088641292	0.319	0.105	1.01512233642357e-175	10	SLC35C2
7.66860520013663e-180	2.87787882624147	0.312	0.117	1.83640088727672e-175	10	NR4A3
5.25359590696682e-179	0.964300789298538	0.516	0.217	1.25807861184135e-174	10	CCDC69
7.6242912140558e-178	0.892894846871118	0.685	0.365	1.82578901702994e-173	10	XBP1
7.68417230444781e-178	1.22643149031293	0.386	0.145	1.84012874174612e-173	10	ADI1
1.26246723019829e-177	1.31870054468646	0.303	0.099	3.02323027615583e-173	10	PDPK1
3.65500492165054e-176	0.763325123827947	0.861	0.645	8.75264028587655e-172	10	SUB1
3.7465513058354e-175	1.08997007351918	0.427	0.168	8.97186641208403e-171	10	DNAJC3
4.02273964568224e-175	0.923236680886797	0.826	0.59	9.63325462951527e-171	10	UCP2
1.90819803707707e-174	0.96423753840153	0.588	0.274	4.56956183938845e-170	10	NHP2
3.42671185404021e-174	1.34628180860135	0.308	0.102	8.20594687687008e-170	10	ELMSAN1
5.77230345356071e-173	0.912900069762686	0.61	0.288	1.38229350802418e-168	10	PPM1G
7.22358577991105e-173	1.09751178562649	0.381	0.14	1.7298320867153e-168	10	TM9SF3
1.24992535774013e-172	1.3942700097896	0.284	0.091	2.99319625418029e-168	10	ACSL3
1.41215833338107e-172	1.1157208676815	0.575	0.267	3.38169556094764e-168	10	TGFBR2
3.40037238280901e-172	1.02223204966588	0.354	0.125	8.14287174511273e-168	10	MAD2L2
6.70306459191393e-171	0.43600406614068	0.975	0.935	1.60518287782563e-166	10	FTH1
6.94519963847875e-171	1.257939386249	0.273	0.085	1.66316695742651e-166	10	PIK3CG
2.84300123788676e-170	1.13639642103235	0.381	0.143	6.80813506436743e-166	10	TMEM141
4.57476914575522e-170	1.55281474170433	0.382	0.15	1.095519967334e-165	10	BHLHE40
8.4141809796687e-170	0.968809348046865	0.424	0.163	2.01494391920126e-165	10	ATP2A3
1.06063866642617e-169	0.877716000209236	0.548	0.239	2.53991141449074e-165	10	LIME1
2.29996725742037e-169	0.964883294559422	0.579	0.272	5.50773159134455e-165	10	TMED2
5.30803852507428e-169	1.03863530204649	0.575	0.274	1.27111598559954e-164	10	TMED9
1.23381886630274e-168	1.1247619327041	0.366	0.135	2.95462603913517e-164	10	DNAJB9
1.88189172011811e-168	1.36627365718971	0.321	0.112	4.50656610216684e-164	10	TOR3A
7.7656659153001e-168	1.21421549510832	0.368	0.136	1.85964401673692e-163	10	STAT2
1.0490038954339e-167	0.937655581540725	0.312	0.103	2.51204962839556e-163	10	IGSF6
1.22516130840492e-167	1.17024367996024	0.354	0.129	2.93389378523727e-163	10	SNAP29
4.84227048279277e-167	0.919188526718038	0.529	0.235	1.15957851251438e-162	10	SLC3A2
9.26122995055313e-165	0.742424975629482	0.88	0.76	2.21778673625896e-160	10	HINT1
2.74901308361083e-164	0.90171169188364	0.735	0.424	6.58306163132286e-160	10	PAXX
6.14049144970237e-164	0.923743372863401	0.766	0.463	1.47046348746023e-159	10	MTDH
3.503269485686e-163	1.05360666809806	0.355	0.129	8.38927943737227e-159	10	NIPA2
3.75113723283558e-162	1.04547079233843	0.488	0.211	8.98284833147136e-158	10	GTF2I
6.07127208831508e-162	0.921271184765562	0.543	0.246	1.45388752698881e-157	10	LPXN
1.35981723990696e-161	1.01909594871747	0.471	0.201	3.25635434440519e-157	10	CLTC
5.79474757126184e-161	1.25746679433474	0.344	0.126	1.38766820089007e-156	10	GNL3
9.85408945665339e-161	1.18514760757892	0.298	0.101	2.35975880218479e-156	10	QKI
1.01712173047797e-160	0.947632231025564	0.355	0.128	2.4357014079756e-156	10	PPP6R1
1.68712479368715e-160	0.92524746771269	0.572	0.271	4.04015774344262e-156	10	ANKRD11
2.17818336080265e-160	1.30466196943867	0.4	0.16	5.2160956941141e-156	10	MALT1
7.97324385286971e-160	1.39437260082861	0.259	0.082	1.90935270544671e-155	10	SNX18
1.71803060777482e-157	1.44043052687419	0.26	0.083	4.11416789643835e-153	10	SRGAP2
2.57563326326539e-157	1.15306137107802	0.264	0.085	6.16786897554162e-153	10	ICAM1
3.39992502452621e-157	0.944267405620899	0.488	0.213	8.14180045623293e-153	10	SUMO3
4.03134002553006e-157	1.03658138426689	0.408	0.163	9.65384995913684e-153	10	MYD88
1.41715511835559e-156	1.87113769707204	0.275	0.096	3.39366136192614e-152	10	AREG
5.20880029213802e-155	0.825993812896287	0.778	0.495	1.24735140595829e-150	10	SELENOH
8.67165424227771e-155	0.913664856173412	0.535	0.249	2.07660104139824e-150	10	MLF2
2.19337992570211e-154	1.19134229647895	0.272	0.09	5.25248690807884e-150	10	UCHL3
2.96254998122263e-154	0.540622048543656	0.376	0.141	7.09441844003384e-150	10	FABP5
4.11102634172961e-154	0.937249685944338	0.442	0.185	9.84467478053989e-150	10	PSENEN
2.17018800161656e-153	0.965324286764316	0.535	0.245	5.19694920747117e-149	10	PTBP3
2.43245627780108e-153	1.10855686949064	0.331	0.121	5.82500304845024e-149	10	SRSF6
4.36270366990314e-153	0.898033396371145	0.627	0.328	1.0447366478317e-148	10	CDK2AP2
2.94983354237405e-152	1.58221212798567	0.379	0.164	7.06396638392314e-148	10	CDKN1A
4.53486790301355e-152	0.726121945263951	0.862	0.718	1.08596481673466e-147	10	CHCHD2
1.83292572581855e-151	0.956020946897813	0.397	0.156	4.38930723561769e-147	10	ARID1B
3.00547364830765e-151	1.1722424832663	0.357	0.138	7.19720774560234e-147	10	ARFGAP3
3.88675488078645e-150	0.969258555335366	0.49	0.218	9.30761191301932e-146	10	NENF
3.97826170699962e-150	0.799934276167302	0.801	0.53	9.52674330975199e-146	10	GNG5
4.76201329902449e-150	1.05135914308539	0.332	0.122	1.14035932471739e-145	10	MARCH1
6.12200291526917e-150	0.682898074280842	0.746	0.458	1.46603603811951e-145	10	TUBA1B
9.87972651091983e-150	1.03456513170818	0.356	0.136	2.36589810756997e-145	10	MORF4L2
1.96116199052659e-149	1.22626013866938	0.252	0.081	4.69639461871404e-145	10	XPNPEP1
3.06946193333154e-149	1.04072165469286	0.348	0.13	7.35044049174904e-145	10	ZMYM2
9.5340875504173e-149	0.894971045830893	0.524	0.243	2.28312794569843e-144	10	LAPTM4A
5.02316061138823e-148	1.35484956479781	0.254	0.082	1.20289627160914e-143	10	TMX3
7.99859378227253e-148	0.8667480993559	0.368	0.141	1.9154232530408e-143	10	ITGAE
3.57109341105291e-147	0.81699706652351	0.661	0.356	8.5516973914484e-143	10	DHRS7
2.09849630560098e-146	1.01044745338748	0.397	0.163	5.02526910302266e-142	10	HDLBP
5.67026567331595e-146	0.88343659272788	0.413	0.17	1.35785852078897e-141	10	PECAM1
1.80583602378922e-144	0.813979396003052	0.506	0.232	4.32443552616805e-140	10	SEC11C
