dataset_id	object_label	sample_label	tissue_site	review_class	cell_count	total_cells	fraction
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	caf_ecm_review	338	1997	0.169253880821232
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	endothelial_review	301	1997	0.150726089133701
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	epithelial_review	421	1997	0.210816224336505
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	immune_review	913	1997	0.457185778668002
GSE245552	gse245552_Pt04_T1_working_qc_sparse_matrix	Pt04_T1	primary tumor	pericyte_review	24	1997	0.0120180270405608
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	caf_ecm_review	219	3389	0.0646208321038654
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	endothelial_review	18	3389	0.00531130126881086
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	epithelial_review	2796	3389	0.825022130421953
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	immune_review	332	3389	0.0979640011802892
GSE245552	gse245552_Pt04_T2_working_qc_sparse_matrix	Pt04_T2	liver metastasis	pericyte_review	24	3389	0.00708173502508115
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	caf_ecm_review	102	1971	0.0517503805175038
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	endothelial_review	165	1971	0.0837138508371385
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	epithelial_review	830	1971	0.421106037544394
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	immune_review	872	1971	0.442415017757483
GSE245552	gse245552_Pt05_T1_working_qc_sparse_matrix	Pt05_T1	primary tumor	pericyte_review	2	1971	0.00101471334348047
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	caf_ecm_review	209	3393	0.0615974064249926
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	endothelial_review	218	3393	0.0642499263188918
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	epithelial_review	322	3393	0.0949012673150604
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	immune_review	2625	3393	0.773651635720601
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	pericyte_review	19	3393	0.00559976422045388
