dataset_id	object_label	sample_label	tissue_site	review_class	top_marker_program	marker_group	gene_symbol	present	cell_count	pct_expr	mean_log_norm
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	CXCL14	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	IL6	TRUE	574	0.024390243902439	0.0250928729665263
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	IL6	TRUE	47	0.382978723404255	0.698033549346915
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	IL6	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	inflammatory_caf	SFRP1	TRUE	574	0.0418118466898955	0.0741877528783907
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	inflammatory_caf	SFRP1	TRUE	47	0.106382978723404	0.221192035564875
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	inflammatory_caf	SFRP1	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	pericyte_like	CSPG4	TRUE	574	0.00174216027874564	0.00284879426934867
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	pericyte_like	CSPG4	TRUE	47	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	pericyte_like	CSPG4	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	pericyte_like	MCAM	TRUE	574	0.0104529616724739	0.0132894396634544
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	pericyte_like	MCAM	TRUE	47	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	pericyte_like	MCAM	TRUE	7	0.285714285714286	0.524381388772408
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	pericyte_like	PDGFRB	TRUE	574	0.116724738675958	0.141605404714355
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	pericyte_like	PDGFRB	TRUE	47	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	pericyte_like	PDGFRB	TRUE	7	0.142857142857143	0.311875346797312
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	fibroblast_ecm	pericyte_like	RGS5	TRUE	574	0.00348432055749129	0.00903390656145199
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	inflammatory_caf	pericyte_like	RGS5	TRUE	47	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		caf_ecm_review	caf_activation	pericyte_like	RGS5	TRUE	7	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	ACTA2	TRUE	59	0.0508474576271186	0.0474858385856088
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	FAP	TRUE	59	0.0169491525423729	0.0271867797320798
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	MMP11	TRUE	59	0.0169491525423729	0.0198577297386174
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	MMP2	TRUE	59	0.11864406779661	0.217125205479642
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	POSTN	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	caf_activation	THBS2	TRUE	59	0	0
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	cycling	MKI67	TRUE	59	0.0338983050847458	0.0496281533007068
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	cycling	TOP2A	TRUE	59	0.0677966101694915	0.0909117634824602
GSE178318	gse178318_working_qc_sparse_matrix	COL07_CRC		endothelial_review	endothelial	endothelial	KDR	TRUE	59	0.0169491525423729	0.0214166386783481
