cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
4	3.44938780624294e-94	2.87553341845378	0.353	0.047	8.50688020775634e-90	PROK2
4	6.18464169451341e-93	2.11502781504323	0.553	0.13	1.5252563347009e-88	FAM65B
4	1.57833448453508e-92	1.32815969866434	0.916	0.399	3.89248850576041e-88	CFP
4	1.64217630717387e-92	1.19883872782863	0.982	0.507	4.0499352087522e-88	VCAN
4	1.21713851991657e-87	1.22127773963259	0.879	0.534	3.00170701781825e-83	GCA
4	1.57781191894643e-87	3.23010808180689	0.297	0.035	3.89119975450568e-83	CES1
4	4.44447990177162e-85	2.37322828138873	0.45	0.094	1.09609763337492e-80	VNN2
4	2.66116967950801e-83	0.849980410017391	0.989	0.72	6.56297666360266e-79	FPR1
4	2.21970237175967e-79	0.829436942681804	1	0.737	5.47422998923371e-75	S100A9
4	6.00400506401511e-79	1.0521971100791	0.997	0.531	1.48070772888741e-74	FCN1
4	3.28702642529133e-75	1.02940367330797	0.903	0.579	8.10646457005348e-71	CSF3R
4	9.28526269618377e-72	2.23988957959998	0.382	0.076	2.28993148613284e-67	CYP1B1
4	5.92044072086748e-70	2.93218177036366	0.242	0.028	1.46009909058034e-65	F5
4	1.86883462652066e-69	0.832850567333798	0.945	0.683	4.60891995592524e-65	CSTA
4	2.55095551800237e-69	2.63386327073945	0.276	0.039	6.29116649849744e-65	MCTP2
4	1.84511876074241e-68	0.891869431576856	0.942	0.654	4.55043188774292e-64	ACSL1
4	4.88086465052677e-68	1.83138489437511	0.542	0.169	1.20371884011291e-63	CKAP4
4	5.0529199582557e-68	2.26733611964963	0.426	0.109	1.24615112010502e-63	LTB4R
4	4.8446139660062e-66	1.59983190991738	0.637	0.245	1.19477869629645e-61	IL1R2
4	6.50080166704232e-66	3.05483559919345	0.237	0.03	1.60322770712598e-61	HP
4	8.98387134532869e-66	1.1251678482258	0.8	0.525	2.21560235118496e-61	PLBD1
4	2.61153516846184e-64	1.68417298181291	0.592	0.236	6.44056803246058e-60	RNASE2
4	6.30727619036965e-64	0.603833374532738	0.976	0.818	1.55550045406896e-59	GMFG
4	9.59524141252139e-64	0.826434181518333	0.963	0.674	2.36637843715603e-59	CD55
4	1.48649698096907e-63	0.762262771914277	0.921	0.719	3.66599885446592e-59	MAFB
4	5.0730119754317e-63	0.862705258094549	0.903	0.654	1.25110621338097e-58	VMP1
4	5.49755801943417e-63	2.39940766756355	0.405	0.109	1.35580775875285e-58	DYSF
4	1.77345586143481e-62	0.835194193992641	0.868	0.638	4.37369684547052e-58	PGD
4	2.28042490943245e-62	3.21878925727009	0.187	0.017	5.6239839116423e-58	NFE2
4	4.2534021268402e-62	0.985265570112856	0.866	0.545	1.04897403252133e-57	BCL3
