relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_081.fastq.gz	31711275	gzip	@A00153:862:HGGWHDSX2:3:1461:12707:4586 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_082.fastq.gz	32086074	gzip	@A00153:862:HGGWHDSX2:3:2420:18611:35978 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_083.fastq.gz	33069846	gzip	@A00153:862:HGGWHDSX2:3:1344:18014:15405 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_084.fastq.gz	32708807	gzip	@A00153:862:HGGWHDSX2:3:1466:5954:5384 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_085.fastq.gz	34302976	gzip	@A00153:862:HGGWHDSX2:3:2326:29496:27680 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_086.fastq.gz	36470736	gzip	@A00153:862:HGGWHDSX2:3:2667:18403:9220 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_087.fastq.gz	39129138	gzip	@A00153:862:HGGWHDSX2:3:1250:21911:18114 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_088.fastq.gz	37960295	gzip	@A00153:862:HGGWHDSX2:3:2657:2609:24862 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_089.fastq.gz	36926851	gzip	@A00153:862:HGGWHDSX2:3:2364:7292:7044 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_090.fastq.gz	38248977	gzip	@A00153:862:HGGWHDSX2:3:1227:17888:18881 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_091.fastq.gz	35027157	gzip	@A00153:862:HGGWHDSX2:3:2202:5963:26913 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_092.fastq.gz	32839435	gzip	@A00153:862:HGGWHDSX2:3:2164:14190:33238 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_093.fastq.gz	33790966	gzip	@A00153:862:HGGWHDSX2:3:2649:32000:9095 1:N:0:0	100	28:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R1_094.fastq.gz	37811297	gzip	@A00153:862:HGGWHDSX2:3:2544:25771:20102 1:N:0:0	100	28:100
