timestamp	output_bytes	guest_available_bytes
2026-07-14T09:05:19+00:00	18971571671	60382257152
2026-07-14T09:05:29+00:00	18998488241	60355534848
2026-07-14T09:05:39+00:00	19023688729	60330463232
2026-07-14T09:05:49+00:00	19050637301	60303319040
2026-07-14T09:05:59+00:00	19075670556	60278411264
2026-07-14T09:06:09+00:00	19101182813	60252966912
2026-07-14T09:06:19+00:00	19127699771	60226445312
2026-07-14T09:06:29+00:00	19152566225	60201578496
2026-07-14T09:06:40+00:00	19177277943	60176736256
2026-07-14T09:06:50+00:00	19202665915	60151402496
2026-07-14T09:07:00+00:00	19226636386	60127502336
2026-07-14T09:07:10+00:00	19252173761	60101840896
2026-07-14T09:07:20+00:00	19277167936	60076834816
2026-07-14T09:07:30+00:00	19300837137	60053299200
2026-07-14T09:07:40+00:00	19325252120	60028755968
2026-07-14T09:07:50+00:00	19346997101	60007071744
2026-07-14T09:08:00+00:00	19372618074	59981418496
2026-07-14T09:08:11+00:00	19398912671	59955089408
2026-07-14T09:08:21+00:00	19423711186	59930353664
2026-07-14T09:08:31+00:00	19450441072	59903496192
2026-07-14T09:08:41+00:00	19477074370	59876925440
2026-07-14T09:08:51+00:00	19495827268	59858296832
2026-07-14T09:09:01+00:00	19519267078	59834855424
2026-07-14T09:09:11+00:00	19538477308	59815645184
2026-07-14T09:09:21+00:00	19564039585	59789750272
2026-07-14T09:09:31+00:00	19591490990	59762499584
2026-07-14T09:09:42+00:00	19615189375	59738931200
2026-07-14T09:09:52+00:00	19640279844	59713708032
2026-07-14T09:10:02+00:00	19667133547	59686854656
2026-07-14T09:10:12+00:00	19691817667	59662172160
2026-07-14T09:10:22+00:00	19717236359	59636748288
2026-07-14T09:10:32+00:00	19745170235	59608813568
2026-07-14T09:10:42+00:00	19771081296	59583025152
2026-07-14T09:10:52+00:00	19797872134	59556106240
2026-07-14T09:11:02+00:00	19825258592	59528716288
2026-07-14T09:11:13+00:00	19850635937	59503464448
2026-07-14T09:11:23+00:00	19877954951	59476017152
2026-07-14T09:11:33+00:00	19903535107	59450568704
2026-07-14T09:11:43+00:00	19929129995	59424731136
2026-07-14T09:11:53+00:00	19954996893	59399102464
2026-07-14T09:12:03+00:00	19979288939	59374694400
2026-07-14T09:12:13+00:00	20001585505	59352379392
2026-07-14T09:12:23+00:00	20025812327	59328217088
2026-07-14T09:12:33+00:00	20051630007	59302400000
2026-07-14T09:12:44+00:00	20077051213	59277037568
2026-07-14T09:12:54+00:00	20102110660	59251978240
2026-07-14T09:13:04+00:00	20125178660	59228839936
2026-07-14T09:13:14+00:00	20149921782	59204100096
2026-07-14T09:13:24+00:00	20173504590	59180580864
2026-07-14T09:13:34+00:00	20200984102	59152904192
2026-07-14T09:13:44+00:00	20231157875	59122728960
2026-07-14T09:13:54+00:00	20259299580	59094786048
2026-07-14T09:14:04+00:00	20286891210	59066990592
2026-07-14T09:14:15+00:00	20315090291	59038986240
2026-07-14T09:14:25+00:00	20342148048	59011923968
2026-07-14T09:14:35+00:00	20372131412	58981941248
2026-07-14T09:14:45+00:00	20401037105	58952704000
2026-07-14T09:14:55+00:00	20428773457	58925293568
2026-07-14T09:15:05+00:00	20455979337	58897825792
2026-07-14T09:15:15+00:00	20484540068	58869522432
2026-07-14T09:15:25+00:00	20512594956	58841403392
2026-07-14T09:15:35+00:00	20542403086	58811531264
2026-07-14T09:15:46+00:00	20569303152	58784751616
2026-07-14T09:15:56+00:00	20597644827	58756390912
2026-07-14T09:16:06+00:00	20625756753	58728161280
2026-07-14T09:16:16+00:00	20655726514	58698190848
2026-07-14T09:16:26+00:00	20686767113	58667278336
2026-07-14T09:16:36+00:00	20715735745	58638307328
2026-07-14T09:16:46+00:00	20745911201	58608001024
2026-07-14T09:16:56+00:00	20773277036	58580766720
2026-07-14T09:17:06+00:00	20801514733	58552332288
2026-07-14T09:17:17+00:00	20829824078	58524217344
2026-07-14T09:17:27+00:00	20858205149	58495635456
2026-07-14T09:17:37+00:00	20885818661	58468089856
2026-07-14T09:17:47+00:00	20914647381	58439389184
2026-07-14T09:17:57+00:00	20942452917	58411585536
2026-07-14T09:18:07+00:00	20971395067	58382569472
2026-07-14T09:18:17+00:00	20998156490	58355867648
2026-07-14T09:18:27+00:00	21026670776	58327166976
2026-07-14T09:18:37+00:00	21054419283	58299473920
2026-07-14T09:18:48+00:00	21083868512	58270089216
2026-07-14T09:18:58+00:00	21112372211	58241454080
2026-07-14T09:19:08+00:00	21140959224	58213060608
2026-07-14T09:19:18+00:00	21169612036	58184343552
2026-07-14T09:19:28+00:00	21199350962	58154610688
2026-07-14T09:19:38+00:00	21229765676	58124120064
2026-07-14T09:19:48+00:00	21260027687	58093985792
2026-07-14T09:19:58+00:00	21289891952	58064117760
2026-07-14T09:20:08+00:00	21321815253	58032193536
2026-07-14T09:20:19+00:00	21351667493	58002341888
2026-07-14T09:20:29+00:00	21384367879	57969639424
2026-07-14T09:20:39+00:00	21415140374	57938862080
2026-07-14T09:20:49+00:00	21446078904	57907789824
2026-07-14T09:20:59+00:00	21473984825	57879883776
2026-07-14T09:21:09+00:00	21501722432	57852071936
2026-07-14T09:21:19+00:00	21529533743	57824460800
2026-07-14T09:21:29+00:00	21557309929	57796608000
2026-07-14T09:21:39+00:00	21585095861	57768497152
2026-07-14T09:21:50+00:00	21613195357	57740767232
2026-07-14T09:22:00+00:00	21640475336	57713184768
2026-07-14T09:22:10+00:00	21668988356	57684799488
2026-07-14T09:22:20+00:00	21696220729	57657569280
2026-07-14T09:22:30+00:00	21724920449	57628971008
2026-07-14T09:22:40+00:00	21753697127	57600221184
2026-07-14T09:22:50+00:00	21780119120	57573793792
2026-07-14T09:23:00+00:00	21807893577	57545728000
2026-07-14T09:23:11+00:00	21835801404	57518043136
2026-07-14T09:23:21+00:00	21863162098	57490681856
2026-07-14T09:23:31+00:00	21891743549	57462231040
2026-07-14T09:23:41+00:00	21918203203	57435762688
2026-07-14T09:23:51+00:00	21946406438	57407430656
2026-07-14T09:24:01+00:00	21973758308	57380204544
2026-07-14T09:24:11+00:00	22001703319	57352007680
2026-07-14T09:24:21+00:00	22029603817	57324359680
2026-07-14T09:24:32+00:00	22056786061	57296977920
2026-07-14T09:24:42+00:00	22084728586	57269231616
2026-07-14T09:24:52+00:00	22112050266	57241632768
2026-07-14T09:25:02+00:00	22139823854	57214132224
2026-07-14T09:25:12+00:00	22167577105	57186152448
2026-07-14T09:25:22+00:00	22194212213	57159610368
2026-07-14T09:25:32+00:00	22220921066	57132806144
2026-07-14T09:25:42+00:00	22248996027	57104883712
2026-07-14T09:25:52+00:00	22275924563	57077891072
2026-07-14T09:26:03+00:00	22305659204	57048154112
2026-07-14T09:26:13+00:00	22333387605	57020452864
2026-07-14T09:26:23+00:00	22362996077	56990855168
2026-07-14T09:26:33+00:00	22390976369	56962953216
2026-07-14T09:26:43+00:00	22420688681	56933179392
2026-07-14T09:26:53+00:00	22449066001	56904867840
2026-07-14T09:27:03+00:00	22476930408	56876777472
2026-07-14T09:27:13+00:00	22505173547	56848621568
2026-07-14T09:27:24+00:00	22532598559	56821125120
2026-07-14T09:27:34+00:00	22559539644	56794251264
2026-07-14T09:27:44+00:00	22588541272	56765382656
2026-07-14T09:27:54+00:00	22615530014	56738254848
2026-07-14T09:28:04+00:00	22642569242	56710959104
2026-07-14T09:28:14+00:00	22668371457	56685539328
2026-07-14T09:28:24+00:00	22694192338	56659591168
2026-07-14T09:28:34+00:00	22718812048	56635101184
2026-07-14T09:28:45+00:00	22744645380	56609267712
2026-07-14T09:28:55+00:00	22771144960	56582701056
2026-07-14T09:29:05+00:00	22798652886	56555192320
2026-07-14T09:29:15+00:00	22824783377	56528883712
2026-07-14T09:29:25+00:00	22853184396	56500727808
2026-07-14T09:29:35+00:00	22879235685	56474673152
2026-07-14T09:29:45+00:00	22904376756	56449531904
2026-07-14T09:29:55+00:00	22931730574	56422170624
2026-07-14T09:30:05+00:00	22957438956	56396197888
2026-07-14T09:30:16+00:00	22981962349	56371875840
2026-07-14T09:30:26+00:00	23008631432	56345133056
2026-07-14T09:30:36+00:00	23034187609	56319377408
2026-07-14T09:30:46+00:00	23061865790	56291958784
2026-07-14T09:30:56+00:00	23088871296	56264908800
2026-07-14T09:31:06+00:00	23113823801	56240001024
2026-07-14T09:31:16+00:00	23139690831	56214134784
2026-07-14T09:31:26+00:00	23164089699	56189661184
2026-07-14T09:31:37+00:00	23190411945	56163471360
2026-07-14T09:31:47+00:00	23217183772	56136695808
2026-07-14T09:31:57+00:00	23241815654	56112054272
2026-07-14T09:32:07+00:00	23268406633	56085463040
2026-07-14T09:32:17+00:00	23294810236	56059060224
2026-07-14T09:32:27+00:00	23318986511	56034877440
2026-07-14T09:32:37+00:00	23345726024	56008134656
2026-07-14T09:32:47+00:00	23372113617	55981744128
2026-07-14T09:32:57+00:00	23400807763	55953051648
2026-07-14T09:33:07+00:00	23428364624	55925297152
2026-07-14T09:33:18+00:00	23454031483	55899824128
2026-07-14T09:33:28+00:00	23479820704	55873839104
2026-07-14T09:33:38+00:00	23506658041	55847198720
2026-07-14T09:33:48+00:00	23531776071	55821750272
2026-07-14T09:33:58+00:00	23557910368	55795941376
2026-07-14T09:34:08+00:00	23584310612	55769481216
2026-07-14T09:34:18+00:00	23608719495	55745130496
2026-07-14T09:34:28+00:00	23635256034	55718531072
2026-07-14T09:34:39+00:00	23660060269	55693656064
2026-07-14T09:34:49+00:00	23685662135	55668072448
2026-07-14T09:34:59+00:00	23712044789	55641800704
2026-07-14T09:35:09+00:00	23735703985	55618138112
2026-07-14T09:35:19+00:00	23761881144	55591956480
2026-07-14T09:35:29+00:00	23786460300	55567097856
2026-07-14T09:35:39+00:00	23811136919	55542697984
2026-07-14T09:35:49+00:00	23836408359	55517364224
2026-07-14T09:35:59+00:00	23859386953	55494447104
2026-07-14T09:36:10+00:00	23887017378	55466717184
2026-07-14T09:36:20+00:00	23916289763	55437496320
2026-07-14T09:36:30+00:00	23941148126	55412682752
2026-07-14T09:36:40+00:00	23966185744	55387512832
2026-07-14T09:36:50+00:00	23992538512	55361294336
2026-07-14T09:37:00+00:00	24016641441	55337185280
2026-07-14T09:37:10+00:00	24042205539	55311265792
2026-07-14T09:37:20+00:00	24067060372	55286763520
2026-07-14T09:37:31+00:00	24090754621	55262937088
2026-07-14T09:37:41+00:00	24116356561	55237464064
2026-07-14T09:37:51+00:00	24139741666	55214080000
2026-07-14T09:38:01+00:00	24163808574	55189651456
2026-07-14T09:38:11+00:00	24188678959	55165046784
2026-07-14T09:38:21+00:00	24213322238	55140491264
2026-07-14T09:38:31+00:00	24237279162	55116210176
2026-07-14T09:38:41+00:00	24262673869	55091011584
2026-07-14T09:38:52+00:00	24287210677	55066406912
2026-07-14T09:39:02+00:00	24311953178	55041794048
2026-07-14T09:39:12+00:00	24338865425	55014817792
2026-07-14T09:39:22+00:00	24365555831	54988120064
2026-07-14T09:39:32+00:00	24393005566	54960705536
2026-07-14T09:39:42+00:00	24418372838	54935306240
2026-07-14T09:39:52+00:00	24445790960	54908010496
2026-07-14T09:40:02+00:00	24473032922	54880772096
2026-07-14T09:40:12+00:00	24497798629	54855852032
2026-07-14T09:40:23+00:00	24524647279	54829056000
2026-07-14T09:40:33+00:00	24551411336	54802251776
2026-07-14T09:40:43+00:00	24575568884	54778028032
2026-07-14T09:40:53+00:00	24600963243	54752698368
2026-07-14T09:41:03+00:00	24625800370	54727790592
2026-07-14T09:41:13+00:00	24650220572	54703566848
2026-07-14T09:41:23+00:00	24675836808	54677950464
2026-07-14T09:41:33+00:00	24699753429	54653571072
2026-07-14T09:41:44+00:00	24724740478	54628945920
2026-07-14T09:41:54+00:00	24749865353	54603915264
2026-07-14T09:42:04+00:00	24774747353	54578900992
2026-07-14T09:42:14+00:00	24803460615	54550315008
2026-07-14T09:42:24+00:00	24831011666	54522638336
2026-07-14T09:42:34+00:00	24855866666	54497906688
2026-07-14T09:42:44+00:00	24882937554	54470639616
2026-07-14T09:42:54+00:00	24907138865	54446608384
2026-07-14T09:43:04+00:00	24932790615	54420975616
2026-07-14T09:43:15+00:00	24962700937	54390935552
2026-07-14T09:43:25+00:00	24987953505	54365679616
2026-07-14T09:43:35+00:00	25015442625	54338232320
2026-07-14T09:43:45+00:00	25042045954	54311387136
2026-07-14T09:43:55+00:00	25066951546	54286680064
2026-07-14T09:44:05+00:00	25092794384	54260969472
2026-07-14T09:44:15+00:00	25117873017	54235807744
2026-07-14T09:44:25+00:00	25142191865	54211497984
2026-07-14T09:44:36+00:00	25166381217	54187311104
2026-07-14T09:44:46+00:00	25192848762	54160822272
2026-07-14T09:44:56+00:00	25218719707	54134788096
2026-07-14T09:45:06+00:00	25247751036	54105870336
2026-07-14T09:45:16+00:00	25275416749	54078332928
2026-07-14T09:45:26+00:00	25302837688	54050910208
2026-07-14T09:45:36+00:00	25330626651	54023122944
2026-07-14T09:45:46+00:00	25355674921	53997867008
2026-07-14T09:45:56+00:00	25381434938	53972238336
2026-07-14T09:46:07+00:00	25405799142	53947703296
2026-07-14T09:46:17+00:00	25432216809	53921513472
2026-07-14T09:46:27+00:00	25458161835	53895438336
2026-07-14T09:46:37+00:00	25482406576	53871316992
2026-07-14T09:46:47+00:00	25508043499	53845684224
2026-07-14T09:46:57+00:00	25533091412	53820633088
2026-07-14T09:47:07+00:00	25555680680	53798039552
2026-07-14T09:47:17+00:00	25582794969	53770924032
2026-07-14T09:47:27+00:00	25609568656	53744001024
2026-07-14T09:47:38+00:00	25632804355	53720776704
2026-07-14T09:47:48+00:00	25657223768	53696491520
2026-07-14T09:47:58+00:00	25682374369	53671071744
2026-07-14T09:48:08+00:00	25708873834	53644705792
2026-07-14T09:48:18+00:00	25734449843	53619023872
2026-07-14T09:48:28+00:00	25759904433	53593669632
2026-07-14T09:48:38+00:00	25782730043	53570973696
2026-07-14T09:48:48+00:00	25809301706	53544132608
2026-07-14T09:48:59+00:00	25832697011	53520683008
2026-07-14T09:49:09+00:00	25859663679	53494038528
