integration_feature	anchor_feature	integrated_correction_feature
HOPX	TRUE	TRUE
KPNA2	TRUE	TRUE
SEMA3G	TRUE	TRUE
IGHV3-15	TRUE	TRUE
EGR1	TRUE	TRUE
STOM	TRUE	TRUE
CD177	TRUE	TRUE
CTSD	TRUE	TRUE
DUSP1	TRUE	TRUE
CCL23	TRUE	TRUE
GJA5	TRUE	TRUE
MYOM1	TRUE	TRUE
LMCD1	TRUE	TRUE
PCK1	TRUE	TRUE
XCL1	TRUE	TRUE
CD68	TRUE	TRUE
IGHV5-51	TRUE	TRUE
SERPING1	TRUE	TRUE
LAMP3	TRUE	TRUE
PXDN	TRUE	TRUE
AEBP1	TRUE	TRUE
CYP1B1	TRUE	TRUE
CLEC5A	TRUE	TRUE
MS4A4A	TRUE	TRUE
PTN	TRUE	TRUE
ACAN	TRUE	TRUE
TRPM5	TRUE	TRUE
IGHV4-59	TRUE	TRUE
PALMD	TRUE	TRUE
LEFTY1	TRUE	TRUE
ADGRG6	TRUE	TRUE
IGHV1-18	TRUE	TRUE
SOX17	TRUE	TRUE
CRISPLD2	TRUE	TRUE
LGALS4	TRUE	TRUE
LIPA	TRUE	TRUE
CD8A	TRUE	TRUE
SLPI	TRUE	TRUE
IGHV1-24	TRUE	TRUE
ADAMTS5	TRUE	TRUE
VPREB3	TRUE	TRUE
PHLDA2	TRUE	TRUE
RASD1	TRUE	TRUE
TUBA1A	TRUE	TRUE
PLTP	TRUE	TRUE
CTLA4	TRUE	TRUE
RBP7	TRUE	TRUE
HAS1	TRUE	TRUE
ITM2A	TRUE	TRUE
FPR1	TRUE	TRUE
TCIM	TRUE	TRUE
CD163	TRUE	TRUE
HBB	TRUE	TRUE
ALOX5AP	TRUE	TRUE
APOBEC3A	TRUE	TRUE
TTR	TRUE	TRUE
PI15	TRUE	TRUE
CDKN2B-AS1	TRUE	TRUE
MIR155HG	TRUE	TRUE
KLRD1	TRUE	TRUE
NR4A2	TRUE	TRUE
ESAM	TRUE	TRUE
TGFBI	TRUE	TRUE
COL18A1	TRUE	TRUE
GPR183	TRUE	TRUE
IGF1	TRUE	TRUE
HTRA3	TRUE	TRUE
CDKN3	TRUE	TRUE
HERPUD1	TRUE	TRUE
C2orf40	TRUE	TRUE
ASCL2	TRUE	TRUE
PCSK1	TRUE	TRUE
CYBB	TRUE	TRUE
CDK1	TRUE	TRUE
SDS	TRUE	TRUE
MDK	TRUE	TRUE
SGK1	TRUE	TRUE
IL1RN	TRUE	TRUE
SUGCT	TRUE	TRUE
HBA2	TRUE	TRUE
SPINK5	TRUE	TRUE
GBP1	TRUE	TRUE
HMMR	TRUE	TRUE
DHRS9	TRUE	TRUE
TIMP2	TRUE	TRUE
PTGIS	TRUE	TRUE
NRXN1	TRUE	TRUE
SDCBP2	TRUE	TRUE
FLT1	TRUE	TRUE
IL17A	TRUE	TRUE
NLRP3	TRUE	TRUE
F2RL3	TRUE	TRUE
PDPN	TRUE	TRUE
IGKV2-30	TRUE	TRUE
CD300E	TRUE	TRUE
ABI3BP	TRUE	TRUE
PLEK	TRUE	TRUE
LAMA3	TRUE	TRUE
FAM30A	TRUE	TRUE
ANGPT2	TRUE	TRUE
KDR	TRUE	TRUE
SRPX	TRUE	TRUE
IL4I1	TRUE	TRUE
KRT8	TRUE	TRUE
SOX4	TRUE	TRUE
CYTL1	TRUE	TRUE
GAS1	TRUE	TRUE
PRAP1	TRUE	TRUE
ZNF331	TRUE	TRUE
RND1	TRUE	TRUE
OSM	TRUE	TRUE
TMEM100	TRUE	TRUE
PGM5-AS1	TRUE	TRUE
HBA1	TRUE	TRUE
CXCR4	TRUE	TRUE
SFN	TRUE	TRUE
MSLN	TRUE	TRUE
DES	TRUE	TRUE
