gene_id	gene_symbol	feature_type	seurat_feature_name	detected_cells_merged_raw	formal_merged_gene_filter_pass
ENSG00000181467	RAP2B	Gene Expression	RAP2B	34859	TRUE
ENSG00000241220	AC078788.1	Gene Expression	AC078788.1	22	TRUE
ENSG00000241912	AC078788.2	Gene Expression	AC078788.2	1	FALSE
ENSG00000243012	LINC02083	Gene Expression	LINC02083	1	FALSE
ENSG00000237787	C3orf79	Gene Expression	C3orf79	4	TRUE
ENSG00000243486	AC068985.1	Gene Expression	AC068985.1	0	FALSE
ENSG00000114790	ARHGEF26	Gene Expression	ARHGEF26	6213	TRUE
ENSG00000174953	DHX36	Gene Expression	DHX36	71469	TRUE
ENSG00000174948	GPR149	Gene Expression	GPR149	3	TRUE
ENSG00000243861	AC092994.1	Gene Expression	AC092994.1	0	FALSE
ENSG00000243969	AC073359.2	Gene Expression	AC073359.2	0	FALSE
ENSG00000243953	AC073359.1	Gene Expression	AC073359.1	1	FALSE
ENSG00000196549	MME	Gene Expression	MME	2349	TRUE
ENSG00000240666	MME-AS1	Gene Expression	MME-AS1	4	TRUE
ENSG00000241336	LINC01487	Gene Expression	LINC01487	1	FALSE
ENSG00000240045	DWORF	Gene Expression	DWORF	185	TRUE
ENSG00000242790	AC104831.1	Gene Expression	AC104831.1	1	FALSE
ENSG00000114805	PLCH1	Gene Expression	PLCH1	8731	TRUE
ENSG00000239508	PLCH1-AS1	Gene Expression	PLCH1-AS1	8	TRUE
ENSG00000242925	PLCH1-AS2	Gene Expression	PLCH1-AS2	0	FALSE
ENSG00000174928	C3orf33	Gene Expression	C3orf33	3407	TRUE
ENSG00000284952	AC104472.3	Gene Expression	AC104472.3	538	TRUE
ENSG00000169359	SLC33A1	Gene Expression	SLC33A1	26365	TRUE
ENSG00000163655	GMPS	Gene Expression	GMPS	31931	TRUE
ENSG00000169282	KCNAB1	Gene Expression	KCNAB1	1380	TRUE
ENSG00000240596	KCNAB1-AS2	Gene Expression	KCNAB1-AS2	0	FALSE
ENSG00000242370	KCNAB1-AS1	Gene Expression	KCNAB1-AS1	0	FALSE
ENSG00000272990	AC084036.1	Gene Expression	AC084036.1	3984	TRUE
ENSG00000114850	SSR3	Gene Expression	SSR3	83362	TRUE
ENSG00000243926	TIPARP-AS1	Gene Expression	TIPARP-AS1	4006	TRUE
ENSG00000163659	TIPARP	Gene Expression	TIPARP	26709	TRUE
ENSG00000240875	LINC00886	Gene Expression	LINC00886	740	TRUE
ENSG00000197980	LEKR1	Gene Expression	LEKR1	1512	TRUE
ENSG00000243629	LINC00880	Gene Expression	LINC00880	261	TRUE
ENSG00000241544	LINC02029	Gene Expression	LINC02029	547	TRUE
ENSG00000241135	LINC00881	Gene Expression	LINC00881	167	TRUE
ENSG00000163660	CCNL1	Gene Expression	CCNL1	131644	TRUE
ENSG00000241770	AC104411.1	Gene Expression	AC104411.1	6	TRUE
ENSG00000197415	VEPH1	Gene Expression	VEPH1	2199	TRUE
ENSG00000163661	PTX3	Gene Expression	PTX3	900	TRUE
ENSG00000174899	PQLC2L	Gene Expression	PQLC2L	605	TRUE
ENSG00000239716	AC079943.1	Gene Expression	AC079943.1	0	FALSE
ENSG00000242536	AC079943.2	Gene Expression	AC079943.2	0	FALSE
ENSG00000168779	SHOX2	Gene Expression	SHOX2	1408	TRUE
ENSG00000174891	RSRC1	Gene Expression	RSRC1	40637	TRUE
ENSG00000243150	AC106707.1	Gene Expression	AC106707.1	4640	TRUE
ENSG00000178053	MLF1	Gene Expression	MLF1	13844	TRUE
ENSG00000168827	GFM1	Gene Expression	GFM1	39888	TRUE
ENSG00000079257	LXN	Gene Expression	LXN	27217	TRUE
ENSG00000272087	AC080013.4	Gene Expression	AC080013.4	311	TRUE
ENSG00000272440	AC080013.6	Gene Expression	AC080013.6	523	TRUE
ENSG00000118849	RARRES1	Gene Expression	RARRES1	32542	TRUE
ENSG00000118855	MFSD1	Gene Expression	MFSD1	35509	TRUE
ENSG00000240207	AC080013.1	Gene Expression	AC080013.1	3164	TRUE
ENSG00000272247	AC080013.5	Gene Expression	AC080013.5	400	TRUE
ENSG00000283154	IQCJ-SCHIP1	Gene Expression	IQCJ-SCHIP1	766	TRUE
ENSG00000214216	IQCJ	Gene Expression	IQCJ	7	TRUE
ENSG00000241211	IQCJ-SCHIP1-AS1	Gene Expression	IQCJ-SCHIP1-AS1	19	TRUE
ENSG00000151967	SCHIP1	Gene Expression	SCHIP1	2010	TRUE
