gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	positive_direction	passes_primary_filter	rank
RPS9	1	2.7387155610174	1.06004230730492	500030662.5	0.796565435918332	0	0	97.7095093356492	81.5828478347006	TRUE	TRUE	31
RPL18	1	3.12507321412423	1.00423285583137	499603703.5	0.795885276065226	0	0	99.4463742943986	89.2344041207461	TRUE	TRUE	32
RPL7A	1	3.07452587629763	1.18656759067329	499251185.5	0.795323703195005	0	0	98.7733391228832	83.0591550122536	TRUE	TRUE	33
RPL5	1	2.58328953932074	1.04315432358322	498032827.5	0.793382818477011	0	0	97.0039079461572	78.263357938453	TRUE	TRUE	34
RPS2	1	3.56161434871707	1.20680592261105	497954896	0.793258671011816	0	0	99.5766391663048	88.7398558912875	TRUE	TRUE	35
RPL29	1	3.17552372094654	0.991089676213939	497952112.5	0.793254236803962	0	0	99.4463742943986	89.8947800948007	TRUE	TRUE	36
RPS19	1	3.29653126424322	1.15662560638994	497942109.5	0.793238301693071	0	0	99.5549283543205	86.6736128435789	TRUE	TRUE	37
RPL23A	1	2.81310078498605	1.08971961501653	497814574	0.793035133410061	0	0	98.2739904472427	80.2415508562875	TRUE	TRUE	38
RPL28	1	3.32886179556135	0.983752694432617	497405303	0.792383151127827	0	0	99.6851932262267	92.4247538265119	TRUE	TRUE	39
RACK1	1	2.60967216474691	0.954508589144055	497326810.5	0.792258109971018	0	0	97.7637863656101	82.7304345273909	TRUE	TRUE	40
RPS7	1	2.66367373507836	1.03927229973853	496508385	0.790954330994916	0	0	97.4706904038211	80.0889306311727	TRUE	TRUE	41
RPS16	1	2.84893282978297	1.0242817700196	494602619	0.787918382525359	0	0	98.5887972210161	83.6784409257004	TRUE	TRUE	42
RPLP0	1	2.88437448583518	1.04354406694458	493204608.5	0.785691305414161	0	0	98.3933999131568	83.0165974494812	TRUE	TRUE	43
RPL12	1	3.40749989019327	1.08661583135789	493204580.5	0.785691260809232	0	0	99.5657837603126	89.6658497571284	TRUE	TRUE	44
TPT1	1	3.91532948202765	0.807836938621962	492154336.5	0.784018187271105	0	0	99.9240121580547	98.2111148613944	TRUE	TRUE	45
COX4I1	1	2.34693028289628	0.883538863544031	491785089.5	0.783429964548831	0	0	95.9943551888841	79.4168146398016	TRUE	TRUE	46
RPS11	1	2.66022191291421	0.966762492331184	491761821	0.783392897056304	0	0	98.1003039513678	81.8704782589555	TRUE	TRUE	47
RPL22	1	2.37203852953314	0.907958281738049	491508696	0.78298966053285	0	0	97.0907511940947	77.604449466563	TRUE	TRUE	48
RPL21	1	2.57598237154876	1.09592921281687	491141234	0.7824042813748	0	0	96.8085106382979	75.7333842067417	TRUE	TRUE	49
RPL24	1	2.53753392028955	0.975959340961823	491008543.5	0.782192901005751	0	0	97.3404255319149	79.1291842155467	TRUE	TRUE	50
S100A11	2	2.22798434178433	1.28355214691462	365607740.5	0.826549976844657	0	0	93.2293341910582	61.4363833166988	TRUE	TRUE	1
ANXA2	2	2.23900247139942	1.13081992164953	361745241.5	0.817817808169435	0	0	93.9047925377935	70.0184151707269	TRUE	TRUE	2
KRT18	2	3.23411105414129	1.20661466791216	357412520	0.808022581048145	0	0	98.005789642972	89.6003486230794	TRUE	TRUE	3
ACTB	2	3.62841297960493	0.951936848322671	354757362	0.802019916059659	0	0	99.501447410743	96.2663592785751	TRUE	TRUE	4
CD55	2	1.44765908249452	1.1169230073969	352745446.5	0.797471465560049	0	0	76.5680283049212	28.8429368682964	TRUE	TRUE	5
CSTB	2	1.84735399310867	0.974557967459864	342691496	0.774741934337303	0	0	89.6912190414925	62.7029534560074	TRUE	TRUE	6
S100A6	2	4.02866537997656	1.02739123927129	342318944.5	0.773899686212913	0	0	99.3245416532647	96.6374741695602	TRUE	TRUE	7
KRT8	2	3.26873621017484	0.95296357440633	341826686.5	0.772786810872952	0	0	98.5847539401737	93.0289441500204	TRUE	TRUE	8
GPRC5A	2	1.3006777350883	0.894292123301755	340057862	0.768787929865898	0	0	76.6645223544548	35.7437058071046	TRUE	TRUE	9
PERP	2	1.36350016115271	0.793466110450363	339637827.5	0.767838334253469	0	0	82.5506593760052	49.5171289202525	TRUE	TRUE	10
ACTG1	2	3.09070965783667	0.799878604004001	339378247	0.767251486021068	0	0	99.018977163075	94.2716167395308	TRUE	TRUE	11
LDHA	2	1.65659475024683	0.827182961266779	332789777	0.75235656142649	0	0	86.4908330652943	59.840870433108	TRUE	TRUE	12
PKM	2	1.40936216312961	0.736427077148291	331591934.5	0.7496485315328	0	0	84.2714699260212	54.3121020003655	TRUE	TRUE	13
GAPDH	2	3.13648814806424	0.824852955118223	330826578	0.747918247057729	0	0	98.6973303312963	92.5889480860874	TRUE	TRUE	14
IFITM3	2	1.7030305694665	0.853632841215989	329132389.5	0.744088099852611	0	0	85.1077516886459	57.4848531706426	TRUE	TRUE	15
PHLDA2	2	1.19141474498231	0.806884403478841	328297538	0.742200704123379	0	0	71.6789964618849	32.8830285224286	TRUE	TRUE	16
TXN	2	2.61993113090217	0.828429687810257	325994855	0.736994899186843	0	0	95.6738501125764	83.582383288584	TRUE	TRUE	17
ASS1	2	1.22376468959595	0.755786830553013	323095827.5	0.730440904707077	0	0	74.2682534577034	40.014338529879	TRUE	TRUE	18
S100A14	2	1.384592231802	0.760202906280623	321717240.5	0.727324255559085	0	0	78.0797684142811	49.292210804504	TRUE	TRUE	19
NEAT1	2	3.42489822171865	0.912812849972084	319048278.5	0.721290383091609	0	0	96.4297201672564	92.4483742637446	TRUE	TRUE	20
YWHAZ	2	1.65680016787495	0.605839590075789	318668841.5	0.720432568530202	0	0	90.1736892891605	72.8341088322533	TRUE	TRUE	21
S100P	2	0.928987009979703	0.723039954285288	318252676	0.719491719783624	0	0	57.4461241556771	17.1218915613534	TRUE	TRUE	22
EZR	2	1.28719729323138	0.638426425024139	318249789	0.71948519298039	0	0	80.7011900932776	54.7577210171922	TRUE	TRUE	23
IL32	2	1.28574769601378	0.733615985504974	317950058.5	0.71880757538538	0	0	75.8925699581859	40.3924821119811	TRUE	TRUE	24
RPL22L1	2	1.42188434934856	0.801000441812101	317818706.5	0.718510620533139	0	0	75.9568993245417	41.6857612775349	TRUE	TRUE	25
S100A10	2	2.99258732360682	0.745742888886085	317708652.5	0.71826181526707	0	0	98.1183660340946	91.5711936123255	TRUE	TRUE	26
