cluster	compartment	signature_score	mean_normalized_expression	mean_detection_fraction	marker_genes	signature_rank
13	B	-0.242178672445412	0.0426295453035534	0.0301629169899147	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
13	T/I/NK	-0.336951144026496	0.0930232286250684	0.0705973622963538	CD3D;CD3E;TRAC;TRBC1	5
13	Epithelial	-0.87697723400479	0.15278849106666	0.121567106283941	EPCAM;CD24	6
14	Epithelial	1.99534085820259	2.31471525787639	0.937256231982364	EPCAM;CD24	1
14	Myeloid	-0.184043658048077	0.0735351610971635	0.0988638290656266	CD14;CD68	2
14	Fibroblast	-0.219508851449169	0.0182704611886171	0.020518907919281	COL1A2;COL3A1;MYH11;ACTA2	3
14	B	-0.301603694653475	0.0180787749104727	0.016720366287943	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
14	Endothelial	-0.384028966432387	0.00635794914719845	0.00754620993725623	VWF;PECAM1	5
14	T/I/NK	-0.459864393732916	0.024072440095259	0.0220027132440224	CD3D;CD3E;TRAC;TRBC1	6
15	Epithelial	0.860202002121916	1.5442998981826	0.763508832698303	EPCAM;CD24	1
15	Fibroblast	-0.227870482826259	0.0132138126276991	0.0133789400762037	COL1A2;COL3A1;MYH11;ACTA2	2
15	Myeloid	-0.293405725158238	0.0304053006104704	0.0376688604087288	CD14;CD68	3
15	B	-0.319357365162491	0.0090282783786715	0.00796674748874264	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
15	Endothelial	-0.382787485206117	0.00705616659952877	0.00666782126775199	VWF;PECAM1	5
15	T/I/NK	-0.481084730632756	0.0117459407793115	0.0113439556633183	CD3D;CD3E;TRAC;TRBC1	6
16	Epithelial	1.39075500289046	1.93212120799298	0.860055768560474	EPCAM;CD24	1
16	Myeloid	-0.130189852065211	0.0839109322180062	0.100644823980481	CD14;CD68	2
16	Fibroblast	-0.228258799307168	0.013088904058897	0.0142906936214709	COL1A2;COL3A1;MYH11;ACTA2	3
16	B	-0.315987217696602	0.0108446866195629	0.011467410247473	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	4
16	Endothelial	-0.385233749035152	0.00567205334319313	0.0069710700592541	VWF;PECAM1	5
16	T/I/NK	-0.477385178330417	0.0137397564683143	0.0142035552457302	CD3D;CD3E;TRAC;TRBC1	6
17	B	2.41600715338195	0.918228669634667	0.524100403721257	CD79A;CD79B;MS4A1;TNFRSF17;MZB1	1
17	Fibroblast	-0.21179249588702	0.0225933664730906	0.0261979989468141	COL1A2;COL3A1;MYH11;ACTA2	2
17	Endothelial	-0.229320207041105	0.0935347841925684	0.104089871862384	VWF;PECAM1	3
