author_subtype	compartment	cluster	overlap_count	overlap_genes	jaccard	author_overlap_rank
CD1C+cDC	Myeloid	6	1	IER5	0.0101010101010101	6
LILR4A+pDC	Myeloid	6	1	HERPUD1	0.0101010101010101	7
MKI67+Mac	Myeloid	6	0		0	8
SPP1+Mac	Myeloid	6	0		0	9
TMSB4X+Mac	Myeloid	6	0		0	10
CALHM6+Mac	Myeloid	7	18	GBP1;TYMP;CALHM6;CXCL10;PSME2;VAMP5;GBP5;WARS;PPA1;LAP3;GBP4;ANKRD22;TNFSF10;ENO1;RARRES3;SNX10;LDHA;IFITM3	0.219512195121951	1
CCL19+mDC	Myeloid	7	2	PPA1;IDO1	0.0204081632653061	2
CD1C+cDC	Myeloid	7	2	PPA1;IDO1	0.0204081632653061	3
FCN1+Mono	Myeloid	7	2	TNFSF10;FPR1	0.0204081632653061	4
IL1B+Mono	Myeloid	7	1	C15orf48	0.0101010101010101	5
MKI67+Mac	Myeloid	7	1	PKM	0.0101010101010101	6
SPP1+Mac	Myeloid	7	1	IL4I1	0.0101010101010101	7
TMSB4X+Mac	Myeloid	7	1	PPA1	0.0101010101010101	8
FOLR2+Mac	Myeloid	7	0		0	9
LILR4A+pDC	Myeloid	7	0		0	10
LILR4A+pDC	Myeloid	8	1	ITM2C	0.0101010101010101	1
CALHM6+Mac	Myeloid	8	0		0	2
CCL19+mDC	Myeloid	8	0		0	3
CD1C+cDC	Myeloid	8	0		0	4
FCN1+Mono	Myeloid	8	0		0	5
FOLR2+Mac	Myeloid	8	0		0	6
IL1B+Mono	Myeloid	8	0		0	7
MKI67+Mac	Myeloid	8	0		0	8
SPP1+Mac	Myeloid	8	0		0	9
TMSB4X+Mac	Myeloid	8	0		0	10
MKI67+Mac	Myeloid	9	39	STMN1;H2AFZ;HMGB1;TUBA1B;TUBB;HMGB2;PTMA;HMGN2;PCLAF;CKS1B;RAN;PCNA;TK1;MKI67;TYMS;DUT;RANBP1;TOP2A;MAD2L1;ZWINT;CDK1;UBE2C;NUCKS1;RPA3;TUBA1C;DEK;PTTG1;GGH;SMC4;IDH2;LDHB;CENPF;KPNA2;NASP;NUSAP1;YWHAH;CENPM;H2AFX;BIRC5	0.639344262295082	1
TMSB4X+Mac	Myeloid	9	3	TUBA1B;SLC25A5;YBX1	0.0309278350515464	2
CALHM6+Mac	Myeloid	9	2	ENO1;LDHA	0.0204081632653061	3
CD1C+cDC	Myeloid	9	1	HMGN1	0.0101010101010101	4
LILR4A+pDC	Myeloid	9	1	STMN1	0.0101010101010101	5
CCL19+mDC	Myeloid	9	0		0	6
FCN1+Mono	Myeloid	9	0		0	7
FOLR2+Mac	Myeloid	9	0		0	8
IL1B+Mono	Myeloid	9	0		0	9
SPP1+Mac	Myeloid	9	0		0	10
