cluster	rank	gene	score_mean_log_normalized_difference	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	technical_gene_excluded	marker_method
3	48	RPSA	1.035465955734253	2.179263114929199	1.1437971591949463	0.8594178305704216	False	mean_log_normalized_expression_difference
3	49	RPL41	1.034100890159607	2.952380895614624	1.918280005455017	0.9643649654092155	False	mean_log_normalized_expression_difference
3	50	RPLP0	1.0270633697509766	2.536839485168457	1.5097761154174805	0.8818692076752382	False	mean_log_normalized_expression_difference
4	1	JCHAIN	4.376999855041504	5.015118598937988	0.6381186842918396	0.9998664351542674	False	mean_log_normalized_expression_difference
4	2	IGHA1	3.7401814460754395	5.007814884185791	1.2676335573196411	0.9643381861893949	False	mean_log_normalized_expression_difference
4	3	IGHA2	3.600238800048828	4.670759201049805	1.0705205202102661	0.9555229063710431	False	mean_log_normalized_expression_difference
4	4	IGKC	3.5042824745178223	5.480535507202148	1.9762531518936157	0.9867770802724722	False	mean_log_normalized_expression_difference
4	5	IGLC2	2.3458170890808105	3.4680511951446533	1.1222342252731323	0.9378923467343395	False	mean_log_normalized_expression_difference
4	6	IGLC3	2.0720293521881104	2.871100425720215	0.7990711331367493	0.882863630292507	False	mean_log_normalized_expression_difference
4	7	SSR4	2.0467963218688965	2.6743831634521484	0.6275867819786072	0.9055696540670496	False	mean_log_normalized_expression_difference
4	8	MZB1	2.0132274627685547	2.1893506050109863	0.17612306773662567	0.8383865366635501	False	mean_log_normalized_expression_difference
4	9	IGLL5	1.7353991270065308	2.27506422996521	0.5396651029586792	0.8760518231601443	False	mean_log_normalized_expression_difference
4	10	IGHG1	1.6346291303634644	2.868764877319336	1.2341357469558716	0.9014291438493388	False	mean_log_normalized_expression_difference
4	11	HSP90B1	1.4803483486175537	2.3877930641174316	0.9074447751045227	0.8708427941765727	False	mean_log_normalized_expression_difference
4	12	IGHG2	1.4005839824676514	2.0211970806121826	0.6206130385398865	0.7793508748497395	False	mean_log_normalized_expression_difference
4	13	IGHG3	1.314012885093689	2.0976402759552	0.7836273908615112	0.8371844530519568	False	mean_log_normalized_expression_difference
4	14	XBP1	1.2800294160842896	1.7256680727005005	0.44563862681388855	0.7766795779350875	False	mean_log_normalized_expression_difference
4	15	TXNDC5	1.273175835609436	1.3950426578521729	0.12186683714389801	0.731401095231735	False	mean_log_normalized_expression_difference
4	16	IGHG4	1.1343283653259277	1.8979109525680542	0.7635825872421265	0.7977828235608387	False	mean_log_normalized_expression_difference
4	17	HERPUD1	1.1307414770126343	1.6051958799362183	0.47445443272590637	0.7577133698410579	False	mean_log_normalized_expression_difference
4	18	IGLC1	1.1253033876419067	1.3859068155288696	0.2606034278869629	0.763723787899025	False	mean_log_normalized_expression_difference
4	19	FKBP11	1.0495774745941162	1.1927604675292969	0.14318299293518066	0.6924001602778149	False	mean_log_normalized_expression_difference
4	20	DERL3	1.0376101732254028	1.0998817682266235	0.062271542847156525	0.6509950581007079	False	mean_log_normalized_expression_difference
4	21	IGHM	1.018512487411499	1.539176344871521	0.5206637978553772	0.7651930012020837	False	mean_log_normalized_expression_difference
4	22	BLOC1S5-TXNDC5	0.876544713973999	0.949230432510376	0.07268574088811874	0.6827834913850674	False	mean_log_normalized_expression_difference
4	23	IGKV3-20	0.8047760128974915	0.9058206081390381	0.10104457288980484	0.5760651796447175	False	mean_log_normalized_expression_difference
4	24	CD79A	0.7874146699905396	0.9512551426887512	0.16384044289588928	0.5783357820221717	False	mean_log_normalized_expression_difference
4	25	IGKV1-39	0.7489778995513916	0.8464580774307251	0.09748020023107529	0.5498864698811273	False	mean_log_normalized_expression_difference
4	26	SEC11C	0.7472628355026245	0.9166688323020935	0.1694059818983078	0.6345665820755977	False	mean_log_normalized_expression_difference
4	27	JUN	0.7370114326477051	1.9231796264648438	1.1861681938171387	0.7935087484973955	False	mean_log_normalized_expression_difference
4	28	PIM2	0.692367434501648	1.0029500722885132	0.31058260798454285	0.6293575530920262	False	mean_log_normalized_expression_difference
4	29	IGKV4-1	0.6853153109550476	0.7751647233963013	0.08984939754009247	0.554026980098838	False	mean_log_normalized_expression_difference
4	30	DUSP5	0.6816677451133728	0.9148624539375305	0.2331947237253189	0.5406704955255777	False	mean_log_normalized_expression_difference
