dataset_id	cluster	working_cluster_field	rank	names	scores	mean_expression_in_cluster	mean_expression_out_cluster	fraction_expressing_in_cluster	marker_method
GSE189926	19	leiden_0.5	3	SPARCL1	3.1486706733703613	3.2523109912872314	0.10364032536745071	0.9004310344827586	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	4	A2M	2.4722766876220703	2.6519346237182617	0.1796579211950302	0.8560344827586207	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	5	SPARC	2.2899057865142822	2.424482583999634	0.13457684218883514	0.8030172413793103	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	6	PECAM1	2.0099246501922607	2.2051193714141846	0.19519463181495667	0.8120689655172414	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	7	VWF	1.9419775009155273	1.960777759552002	0.018800221383571625	0.7650862068965517	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	8	HSPG2	1.8537119626998901	1.9438179731369019	0.09010601788759232	0.7456896551724138	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	9	GNG11	1.832757830619812	1.8673639297485352	0.03460612893104553	0.771551724137931	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	10	COL4A1	1.8027132749557495	1.8957353830337524	0.09302213042974472	0.7068965517241379	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	11	MGP	1.7534555196762085	1.8152039051055908	0.061748433858156204	0.715948275862069	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	12	GSN	1.7180229425430298	1.9776619672775269	0.25963902473449707	0.7883620689655172	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	13	AQP1	1.6797171831130981	1.6921756267547607	0.012458420358598232	0.6107758620689655	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	14	ENG	1.674128532409668	1.763076901435852	0.08894835412502289	0.7452586206896552	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	15	ID1	1.6493314504623413	1.8312209844589233	0.18188948929309845	0.7237068965517242	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	16	IGFBP4	1.6488760709762573	1.7466964721679688	0.09782044589519501	0.7474137931034482	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	17	IFI27	1.6201093196868896	1.9569157361984253	0.33680644631385803	0.7650862068965517	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	18	EPAS1	1.6169992685317993	1.746025800704956	0.12902650237083435	0.7267241379310345	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	19	ID3	1.603711724281311	1.7931861877441406	0.1894744634628296	0.7034482758620689	mean_log_normalized_expression_difference
GSE189926	19	leiden_0.5	20	CAV1	1.5578186511993408	1.6183927059173584	0.06057408079504967	0.6762931034482759	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	1	CXCL8	3.1336097717285156	4.976109981536865	1.8425003290176392	0.9623997014368352	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	2	S100A9	3.0711421966552734	4.476078033447266	1.4049357175827026	0.9448591155066244	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	3	FCGR3B	2.928286075592041	3.393892765045166	0.46560677886009216	0.9105243515581265	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	4	IFITM2	2.725391149520874	4.155284404754639	1.4298932552337646	0.9679977607762642	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	5	FTH1	2.6229119300842285	5.691964626312256	3.0690526962280273	0.9993468930770666	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	6	NAMPT	2.5993621349334717	3.7907004356384277	1.191338300704956	0.977234558686322	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	7	SOD2	2.540546417236328	3.883448839187622	1.3429025411605835	0.9632394103377496	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	8	CSF3R	2.38985538482666	3.001932144165039	0.6120766401290894	0.9126702743049077	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	9	G0S2	2.374718427658081	3.296178102493286	0.9214596152305603	0.8747900727747714	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	10	LITAF	2.286940097808838	3.298689603805542	1.0117493867874146	0.9148161970516887	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	11	S100A8	2.2735354900360107	3.256715774536133	0.9831802845001221	0.8541705542078746	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	12	SRGN	2.2710506916046143	4.416446685791016	2.1453959941864014	0.9840455308826274	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	13	SAT1	2.129945755004883	4.215418338775635	2.085472583770752	0.9714498973689121	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	14	H3-3A	2.1297268867492676	3.9321205615997314	1.8023936748504639	0.974715431983579	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	15	BCL2A1	2.093137741088867	2.932363748550415	0.8392259478569031	0.8546370591528271	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	16	NAMPTP1	2.0422580242156982	2.807248830795288	0.7649908661842346	0.9487777570442246	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	17	MNDA	1.8871036767959595	2.2294540405273438	0.34235039353370667	0.7247620824780743	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	18	FPR1	1.8057352304458618	2.2163565158843994	0.41062131524086	0.7636685948871058	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	19	HLA-E	1.7725666761398315	3.466813564300537	1.6942468881607056	0.9489643590222057	mean_log_normalized_expression_difference
GSE189926	2	leiden_0.5	20	RGS2	1.7434933185577393	2.575709819793701	0.8322165608406067	0.732412763575294	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	1	IGHA1	5.407464027404785	7.105533123016357	1.6980688571929932	1.0	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	2	IGLL5	5.247942924499512	5.94509220123291	0.6971492171287537	1.0	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	3	IGHA2	5.173060894012451	6.599449157714844	1.4263882637023926	1.0	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	4	IGLC2	5.037001132965088	6.378540515899658	1.3415392637252808	0.9995203836930455	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	5	IGLC3	4.685831069946289	5.660297393798828	0.9744665622711182	0.988009592326139	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	6	JCHAIN	4.665984630584717	5.742123126983643	1.0761386156082153	0.9990407673860912	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	7	IGLC1	4.307991027832031	4.655816078186035	0.34782493114471436	1.0	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	8	AC245060.7	2.7610936164855957	2.853567600250244	0.0924740731716156	0.928537170263789	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	9	IGLV1-51	2.7493691444396973	2.834963798522949	0.08559465408325195	0.9227817745803357	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	10	IGLV2-14	2.418092727661133	2.513756036758423	0.09566327929496765	0.9434052757793765	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	11	IGLC7	2.1071176528930664	2.211090564727783	0.1039728969335556	0.93621103117506	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	12	IGLV1-40	2.1066417694091797	2.1734778881073	0.06683619320392609	0.9107913669064748	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	13	SSR4	2.0595710277557373	2.865095853805542	0.8055247664451599	0.935251798561151	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	14	MZB1	2.00380802154541	2.3558151721954346	0.35200709104537964	0.8762589928057554	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	15	IGLV2-11	2.0000905990600586	2.074310302734375	0.07421959936618805	0.9151079136690647	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	16	IGLV2-23	1.938786506652832	1.9972548484802246	0.0584682822227478	0.9074340527577938	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	17	IGLJ2	1.8738913536071777	1.9090784788131714	0.03518707677721977	0.8546762589928057	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	18	IGLV1-47	1.6870332956314087	1.7427102327346802	0.05567694827914238	0.8767386091127098	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	19	IGLV2-8	1.5598262548446655	1.6082254648208618	0.04839920252561569	0.8820143884892087	mean_log_normalized_expression_difference
GSE189926	20	leiden_0.5	20	IGLJ3	1.5592995882034302	1.6092841625213623	0.049984533339738846	0.8657074340527577	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	1	IGLC2	5.958926200866699	7.297346115112305	1.338419795036316	1.0	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	2	IGHA1	5.2669477462768555	6.978660583496094	1.7117130756378174	1.0	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	3	IGLC3	5.089362144470215	6.06775426864624	0.9783922433853149	1.0	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	4	IGHA2	4.967302322387695	6.407815933227539	1.4405136108398438	1.0	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	5	JCHAIN	4.144868850708008	5.238792896270752	1.093923807144165	0.9939759036144579	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	6	SSR4	1.9500584602355957	2.7616219520568848	0.8115634322166443	0.9173055859802848	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	7	MZB1	1.8801023960113525	2.2382426261901855	0.35814017057418823	0.8532311062431545	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	8	IGLL5	1.6898611783981323	2.4516966342926025	0.7618354558944702	0.9704271631982475	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	9	HSP90B1	1.4659278392791748	2.452176332473755	0.9862484931945801	0.8773274917853231	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	10	TXNDC5	1.2851670980453491	1.519079327583313	0.23391222953796387	0.7721796276013143	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	11	IGLC7	1.1981121301651	1.3202451467514038	0.1221330538392067	0.9101861993428259	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	12	HERPUD1	1.1164547204971313	1.6688071489334106	0.5523524284362793	0.7858707557502739	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	13	IGLJ3	1.0943214893341064	1.1546220779418945	0.060300614684820175	0.7371303395399781	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	14	JUN	1.0549650192260742	2.232264757156372	1.1772997379302979	0.8357064622124863	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	15	DERL3	1.0394926071166992	1.198453664779663	0.1589609980583191	0.7026286966046003	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	16	XBP1	1.0336153507232666	1.5912855863571167	0.5576702952384949	0.7716319824753559	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	17	FKBP11	1.0029504299163818	1.2345597743988037	0.23160934448242188	0.732749178532311	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	18	BLOC1S5-TXNDC5	0.8959537744522095	1.043277621269226	0.147323876619339	0.7245345016429354	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	19	CD79A	0.8556718826293945	1.0617486238479614	0.2060767412185669	0.6319824753559693	mean_log_normalized_expression_difference
GSE189926	21	leiden_0.5	20	IGLC1	0.8380407691001892	1.2472224235534668	0.4091816544532776	0.8702081051478642	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	1	IGLC2	5.7695136070251465	7.112443923950195	1.3429301977157593	1.0	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	2	IGHG1	5.456038475036621	6.707179546356201	1.25114107131958	1.0	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	3	IGLC3	5.261491298675537	6.23881196975708	0.9773205518722534	1.0	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	4	IGHG3	4.8823981285095215	5.699827194213867	0.8174291849136353	1.0	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	5	IGHG2	4.286463737487793	4.945982456207275	0.6595188975334167	1.0	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	6	IGHG4	3.866335391998291	4.6613383293151855	0.7950030565261841	0.9966499162479062	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	7	SSR4	1.6875312328338623	2.503527879714966	0.8159967064857483	0.8553880513679508	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	8	MZB1	1.6411480903625488	2.0033538341522217	0.36220571398735046	0.7755443886097152	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	9	IGLL5	1.5418198108673096	2.3063254356384277	0.7645055651664734	0.9363484087102177	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	10	JCHAIN	1.4704128503799438	2.6049702167510986	1.1345573663711548	0.8470128419877163	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	11	IGLC7	1.4567110538482666	1.5753759145736694	0.11866488307714462	0.8743718592964824	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	12	IGHGP	1.3080998659133911	1.3905584812164307	0.08245860785245895	0.852037967615857	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	13	XBP1	1.1299360990524292	1.6864838600158691	0.5565477609634399	0.7364600781686209	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	14	HSP90B1	0.9830089807510376	1.9768012762069702	0.9937922954559326	0.7984366275823562	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	15	HERPUD1	0.867451012134552	1.4237971305847168	0.5563461184501648	0.6845337800111669	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	16	FKBP11	0.8259596824645996	1.060468077659607	0.23450838029384613	0.6320491345616974	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	17	IGLJ3	0.8216376900672913	0.8862748146057129	0.06463712453842163	0.628140703517588	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	18	AC245060.7	0.740584135055542	0.8695375919342041	0.1289534568786621	0.6085985482970407	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	19	IGLV2-14	0.737263023853302	0.8635662794113159	0.12630325555801392	0.6420993858179788	mean_log_normalized_expression_difference
GSE189926	22	leiden_0.5	20	IGLV1-51	0.7256079316139221	0.8477015495300293	0.12209360301494598	0.6130653266331658	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	1	CXCL8	2.2369773387908936	4.325735092163086	2.0887577533721924	0.9817518248175182	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	2	S100A9	1.8338735103607178	3.4850103855133057	1.651136875152588	0.9714111922141119	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	3	SOD2	1.6425418853759766	3.187410831451416	1.5448689460754395	0.9908759124087592	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	4	HCAR2	1.6004890203475952	2.5926408767700195	0.9921518564224243	0.8862530413625304	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	5	SRGN	1.5881776809692383	3.9124934673309326	2.3243157863616943	0.9993917274939172	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	6	IFITM2	1.5625953674316406	3.2118496894836426	1.649254322052002	0.9920924574209246	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	7	PLEK	1.537476897239685	2.596043586730957	1.058566689491272	0.898418491484185	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	8	TRBC2	1.4899475574493408	1.9528297185897827	0.4628821611404419	0.8102189781021898	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	9	TMSB4X	1.473151445388794	4.587342739105225	3.1141912937164307	0.9993917274939172	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	10	BTG1	1.4635688066482544	2.890699863433838	1.4271310567855835	0.9787104622871047	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	11	HCAR3	1.4579076766967773	2.372377872467041	0.9144701957702637	0.8637469586374696	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	12	NAMPT	1.451035499572754	2.8521230220794678	1.4010875225067139	0.9890510948905109	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	13	BCL2A1	1.441990613937378	2.4464144706726074	1.0044238567352295	0.9440389294403893	mean_log_normalized_expression_difference
GSE189926	23	leiden_0.5	14	FCGR3B	1.440626859664917	2.145150899887085	0.704524040222168	0.902676399026764	mean_log_normalized_expression_difference
