dataset_id	object_label	sample_label	tissue_site	marker_program	n	q1	median	mean	q3
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	inflammatory_caf	3393	0	0	0.044737015873255	0
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	pericyte_like	3393	0	0	0.0278408916440556	0
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	endothelial	3393	0	0	0.130697338847042	0
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	epithelial_tumor	3393	0	0	0.251419283909959	0
GSE245552	gse245552_Pt05_T2_working_qc_sparse_matrix	Pt05_T2	liver metastasis	immune_context	3393	0.69204121022145	1.15769518564684	1.13599798052228	1.7402735136727
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	fibroblast_ecm	2936	0	0	0.00106654533729605	0
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	caf_activation	2936	0	0	0.0114465212064925	0
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	inflammatory_caf	2936	0	0	0.0153025779874988	0
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	pericyte_like	2936	0	0	0.0263397481503018	0
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	endothelial	2936	0	0	0.139047981388073	0.237731987339565
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	epithelial_tumor	2936	0	0	0.0511235361785512	0
GSE245552	gse245552_Pt05_T3_working_qc_sparse_matrix	Pt05_T3	liver metastasis	immune_context	2936	1.87465113653819	2.16794259147143	2.07759350060999	2.44331434358028
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	fibroblast_ecm	733	0	0	0.255977177169546	0
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	caf_activation	733	0	0	0.120775919932356	0
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	inflammatory_caf	733	0	0	0.117383503211802	0
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	pericyte_like	733	0	0	0.0800472976911497	0
GSE245552	gse245552_Pt06_T1_working_qc_sparse_matrix	Pt06_T1	primary tumor	endothelial	733	0	0	0.0703611218150914	0
