dataset_id	object_label	sample_label	tissue_site	top_marker_program	cell_count	total_cells	fraction
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	caf_activation	4	1304	0.00306748466257669
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	endothelial	68	1304	0.0521472392638037
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	epithelial_tumor	92	1304	0.0705521472392638
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	fibroblast_ecm	158	1304	0.121165644171779
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	immune_context	925	1304	0.709355828220859
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	inflammatory_caf	11	1304	0.00843558282208589
GSE245552	gse245552_Pt06_T2_working_qc_sparse_matrix	Pt06_T2	liver metastasis	pericyte_like	46	1304	0.0352760736196319
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	caf_activation	15	6534	0.00229568411386593
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	endothelial	328	6534	0.0501989592898684
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	epithelial_tumor	997	6534	0.152586470768289
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	fibroblast_ecm	777	6534	0.118916437098255
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	immune_context	4183	6534	0.640189776553413
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	inflammatory_caf	152	6534	0.0232629323538414
GSE245552	gse245552_Pt06_T3_working_qc_sparse_matrix	Pt06_T3	liver metastasis	pericyte_like	82	6534	0.0125497398224671
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	caf_activation	6	3784	0.00158562367864693
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	endothelial	333	3784	0.0880021141649049
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	epithelial_tumor	558	3784	0.147463002114165
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	fibroblast_ecm	650	3784	0.171775898520085
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	immune_context	2045	3784	0.540433403805497
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	inflammatory_caf	11	3784	0.00290697674418605
GSE245552	gse245552_Pt07_T1_working_qc_sparse_matrix	Pt07_T1	primary tumor	pericyte_like	181	3784	0.0478329809725159
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	caf_activation	1	2758	0.000362581580855693
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	endothelial	36	2758	0.0130529369108049
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	epithelial_tumor	815	2758	0.295503988397389
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	fibroblast_ecm	45	2758	0.0163161711385062
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	immune_context	1851	2758	0.671138506163887
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	inflammatory_caf	6	2758	0.00217548948513416
GSE245552	gse245552_Pt07_T2_working_qc_sparse_matrix	Pt07_T2	liver metastasis	pericyte_like	4	2758	0.00145032632342277
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	caf_activation	8	6993	0.00114400114400114
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	endothelial	1000	6993	0.143000143000143
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	epithelial_tumor	565	6993	0.0807950807950808
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	fibroblast_ecm	549	6993	0.0785070785070785
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	immune_context	4680	6993	0.669240669240669
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	inflammatory_caf	24	6993	0.00343200343200343
GSE245552	gse245552_Pt08_T1_working_qc_sparse_matrix	Pt08_T1	primary tumor	pericyte_like	167	6993	0.0238810238810239
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	caf_activation	5	3318	0.00150693188667872
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	endothelial	480	3318	0.144665461121157
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	epithelial_tumor	386	3318	0.116335141651597
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	fibroblast_ecm	285	3318	0.0858951175406872
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	immune_context	2105	3318	0.634418324291742
GSE245552	gse245552_Pt08_T2_working_qc_sparse_matrix	Pt08_T2	primary tumor	inflammatory_caf	8	3318	0.00241109101868596
