dataset_id	group_field	group_value	metric	n	min	q1	median	mean	q3	max	gsm	tissue_site	sample_title
GSE245552	sample_label	Pt15_T1	nCount_RNA	11377	160	971	1494	2988.58706161554	3391	36004	GSM7844839	primary tumor	Pt15_T1, scRNAseq
GSE245552	sample_label	Pt15_T1	nFeature_RNA	11377	124	660	924	1295.91764085436	1651	7347	GSM7844839	primary tumor	Pt15_T1, scRNAseq
GSE245552	sample_label	Pt15_T1	percent.mt	11377	0	0	0	0	0	0	GSM7844839	primary tumor	Pt15_T1, scRNAseq
GSE245552	sample_label	Pt15_T2	nCount_RNA	5752	405	1604	4805	7693.75973574409	10167.25	66588	GSM7844840	liver metastasis	Pt15_T2, scRNAseq
GSE245552	sample_label	Pt15_T2	nFeature_RNA	5752	296	1148	2370.5	2645.04589707928	3779.5	8596	GSM7844840	liver metastasis	Pt15_T2, scRNAseq
GSE245552	sample_label	Pt15_T2	percent.mt	5752	0	0	0	0	0	0	GSM7844840	liver metastasis	Pt15_T2, scRNAseq
GSE245552	sample_label	Pt15_Z1	nCount_RNA	5853	159	1742	4190	6996.79053476849	11542	55419	GSM7844841	colon adjacent tissue	Pt15_Z1, scRNAseq
GSE245552	sample_label	Pt15_Z1	nFeature_RNA	5853	138	921	1540	2044.78062532035	3209	7613	GSM7844841	colon adjacent tissue	Pt15_Z1, scRNAseq
GSE245552	sample_label	Pt15_Z1	percent.mt	5853	0	4.32354293974637	10.6471816283925	15.9099901117968	26.7924528301887	49.9716392512762	GSM7844841	colon adjacent tissue	Pt15_Z1, scRNAseq
GSE245552	sample_label	Pt16_T1	nCount_RNA	396	403	1580.25	2933.5	4237.05050505051	4381	45694	GSM7844842	liver metastasis	Pt16_T1, scRNAseq
GSE245552	sample_label	Pt16_T1	nFeature_RNA	396	235	955.5	1469.5	1617.06313131313	1913	6880	GSM7844842	liver metastasis	Pt16_T1, scRNAseq
GSE245552	sample_label	Pt16_T1	percent.mt	396	0	0	0	0	0	0	GSM7844842	liver metastasis	Pt16_T1, scRNAseq
GSE245552	sample_label	Pt16_Z1	nCount_RNA	285	440	1748	2990	4192.28771929825	5066	32496	GSM7844843	liver adjacent tissue	Pt16_Z1, scRNAseq
GSE245552	sample_label	Pt16_Z1	nFeature_RNA	285	269	1035	1558	1745.0350877193	2211	6800	GSM7844843	liver adjacent tissue	Pt16_Z1, scRNAseq
GSE245552	sample_label	Pt16_Z1	percent.mt	285	0	0	0	0.41050079342544	0	15.6558533145275	GSM7844843	liver adjacent tissue	Pt16_Z1, scRNAseq
