cluster	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene
3	5.2546112295192e-104	1.00247301059594	0.699	0.431	1.29589222142402e-99	CLEC12A
3	1.14594341179672e-103	0.510626979980223	0.986	0.816	2.82612564217307e-99	S100A9
3	2.47876683314517e-101	1.58398064828664	0.441	0.18	6.11313476390262e-97	LINC00937
3	2.84170436105771e-99	0.820245505866934	0.781	0.572	7.00821129524053e-95	MYO1F
3	8.94021883246382e-99	0.613241987684699	0.986	0.71	2.20483676846223e-94	FCN1
3	6.42048631441376e-97	1.07386778883028	0.646	0.39	1.58342033486072e-92	IL17RA
3	8.40508089738916e-95	1.19941792287328	0.56	0.27	2.07286105091411e-90	FAM65B
3	9.86309881350531e-95	1.78146297572848	0.297	0.087	2.43243742938668e-90	NFE2
3	1.45565042944093e-93	1.1430411427532	0.612	0.35	3.58992508908722e-89	PRAM1
3	2.61644770863475e-93	1.10916921270569	0.617	0.34	6.45268333903502e-89	POU2F2
3	3.34059962167575e-92	1.1756495337361	0.59	0.331	8.23858678697674e-88	ADRBK1
3	7.16219850758035e-91	0.662964862831013	0.82	0.639	1.76634139593947e-86	IER2
3	1.43827509820913e-87	0.720413747851726	0.801	0.581	3.54707404720336e-83	LIMD2
3	7.0599895263211e-86	1.49274657676793	0.41	0.172	1.74113461698131e-81	GIMAP7
3	2.30933094691783e-85	0.500659918809572	0.891	0.768	5.69527198128875e-81	AHNAK
3	9.25088980071308e-85	1.80353304712848	0.305	0.103	2.28145444265186e-80	FOLR3
