relative_fastq_path	file_size_bytes	gzip_status	first_read_header	records_inspected	read_length_distribution_first100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_048.fastq.gz	31574581	gzip	@A00153:862:HGGWHDSX2:3:1572:32045:9956 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_049.fastq.gz	31106485	gzip	@A00153:862:HGGWHDSX2:3:1253:28031:20791 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_050.fastq.gz	30426607	gzip	@A00153:862:HGGWHDSX2:3:1352:20528:14935 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_051.fastq.gz	29570678	gzip	@A00153:862:HGGWHDSX2:3:2335:32868:8406 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_052.fastq.gz	28004090	gzip	@A00153:862:HGGWHDSX2:3:2371:21097:36276 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_053.fastq.gz	35393938	gzip	@A00153:862:HGGWHDSX2:3:2205:32588:29810 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_054.fastq.gz	32132243	gzip	@A00153:862:HGGWHDSX2:3:2275:25373:2347 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_055.fastq.gz	30950422	gzip	@A00153:862:HGGWHDSX2:3:1253:26549:6449 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_056.fastq.gz	30111351	gzip	@A00153:862:HGGWHDSX2:3:2217:16975:8155 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_057.fastq.gz	28250706	gzip	@A00153:862:HGGWHDSX2:3:1258:24867:22889 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_058.fastq.gz	28620170	gzip	@A00153:862:HGGWHDSX2:3:2345:1018:24173 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_059.fastq.gz	29955957	gzip	@A00153:862:HGGWHDSX2:3:2277:17336:10254 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_060.fastq.gz	36072514	gzip	@A00153:862:HGGWHDSX2:3:1610:13919:16454 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_061.fastq.gz	34284369	gzip	@A00153:862:HGGWHDSX2:3:1458:31331:22467 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_062.fastq.gz	32775943	gzip	@A00153:862:HGGWHDSX2:3:1428:32868:28761 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_063.fastq.gz	30251782	gzip	@A00153:862:HGGWHDSX2:3:2443:29324:24909 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_064.fastq.gz	29585778	gzip	@A00153:862:HGGWHDSX2:3:2568:7012:11350 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_065.fastq.gz	28818639	gzip	@A00153:862:HGGWHDSX2:3:2146:11903:29528 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_066.fastq.gz	36188444	gzip	@A00153:862:HGGWHDSX2:3:2548:24198:35759 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_067.fastq.gz	35564667	gzip	@A00153:862:HGGWHDSX2:3:2663:27868:3380 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_068.fastq.gz	36691453	gzip	@A00153:862:HGGWHDSX2:3:2535:20708:20353 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_069.fastq.gz	34518299	gzip	@A00153:862:HGGWHDSX2:3:2270:25907:11945 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_070.fastq.gz	30007102	gzip	@A00153:862:HGGWHDSX2:3:2134:20338:30545 3:N:0:0	100	91:100
W6B_0_1_HGGWHDSX2/bamtofastq_S1_L003_R2_071.fastq.gz	31034255	gzip	@A00153:862:HGGWHDSX2:3:2175:9860:4351 3:N:0:0	100	91:100
