annotation	N	fraction
Intron (ENST00000426898.2/196527, intron 1 of 17)	4	0.000124769955394741
Intron (ENST00000304032.13/116987, intron 1 of 17)	4	0.000124769955394741
Intron (ENST00000360655.8/89797, intron 1 of 37)	4	0.000124769955394741
Intron (ENST00000698541.1/7204, intron 1 of 36)	4	0.000124769955394741
Intron (ENST00000585567.5/147841, intron 4 of 5)	4	0.000124769955394741
Intron (ENST00000376113.6/274, intron 1 of 13)	4	0.000124769955394741
Intron (ENST00000666328.1/285419, intron 1 of 3)	4	0.000124769955394741
Intron (ENST00000431376.1/ENST00000431376.1, intron 1 of 1)	4	0.000124769955394741
Intron (ENST00000498202.6/100526832, intron 4 of 5)	4	0.000124769955394741
Intron (ENST00000012134.7/3097, intron 1 of 8)	4	0.000124769955394741
Intron (ENST00000355999.5/27347, intron 1 of 17)	4	0.000124769955394741
Exon (ENST00000686267.2/ENST00000686267.2, exon 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000534829.5/105369705, intron 1 of 3)	3	9.35774665460557e-05
Intron (ENST00000636523.1/285590, intron 4 of 13)	3	9.35774665460557e-05
Intron (ENST00000416426.6/124540, intron 6 of 13)	3	9.35774665460557e-05
Intron (ENST00000443171.6/101929746, intron 2 of 3)	3	9.35774665460557e-05
Intron (ENST00000265293.9/23286, intron 1 of 22)	3	9.35774665460557e-05
Intron (ENST00000393352.7/2274, intron 1 of 5)	3	9.35774665460557e-05
Intron (ENST00000541464.5/79838, intron 2 of 20)	3	9.35774665460557e-05
Exon (ENST00000304032.13/116987, exon 2 of 18)	3	9.35774665460557e-05
Intron (ENST00000417811.2/100129460, intron 10 of 21)	3	9.35774665460557e-05
Intron (ENST00000519846.5/157807, intron 3 of 6)	3	9.35774665460557e-05
Intron (ENST00000399429.8/340267, intron 27 of 34)	3	9.35774665460557e-05
Intron (ENST00000276646.14/55638, intron 3 of 6)	3	9.35774665460557e-05
Intron (ENST00000604011.5/100526767, intron 1 of 7)	3	9.35774665460557e-05
Exon (ENST00000418403.3/101928353, exon 3 of 3)	3	9.35774665460557e-05
Intron (ENST00000676095.2/ENST00000676095.2, intron 2 of 8)	3	9.35774665460557e-05
Intron (ENST00000366953.8/6582, intron 2 of 10)	3	9.35774665460557e-05
Intron (ENST00000520041.1/ENST00000520041.1, intron 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000262539.7/5774, intron 1 of 25)	3	9.35774665460557e-05
Intron (ENST00000448183.6/4739, intron 1 of 9)	3	9.35774665460557e-05
Intron (ENST00000513000.5/8821, intron 2 of 26)	3	9.35774665460557e-05
Intron (ENST00000441473.1/ENST00000441473.1, intron 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000519691.1/ENST00000519691.1, exon 1 of 1)	3	9.35774665460557e-05
Intron (ENST00000545168.5/9615, intron 1 of 13)	3	9.35774665460557e-05
Intron (ENST00000486916.5/6582, intron 4 of 5)	3	9.35774665460557e-05
Intron (ENST00000207157.7/6913, intron 1 of 7)	3	9.35774665460557e-05
Intron (ENST00000295400.11/7039, intron 1 of 5)	3	9.35774665460557e-05
Intron (ENST00000360694.8/5467, intron 2 of 7)	3	9.35774665460557e-05
Intron (ENST00000499346.7/644873, intron 2 of 3)	3	9.35774665460557e-05
Intron (ENST00000705350.1/64759, intron 16 of 30)	3	9.35774665460557e-05
Intron (ENST00000520766.5/101927774, intron 1 of 5)	3	9.35774665460557e-05
Intron (ENST00000448713.5/101927043, intron 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000342232.5/56704, intron 2 of 5)	3	9.35774665460557e-05
Intron (ENST00000217246.8/140733, intron 3 of 16)	3	9.35774665460557e-05
Exon (ENST00000552353.2/105369906, exon 4 of 4)	3	9.35774665460557e-05
Intron (ENST00000635855.1/9639, intron 26 of 29)	3	9.35774665460557e-05
Intron (ENST00000636437.1/9474, intron 6 of 6)	3	9.35774665460557e-05
Intron (ENST00000398540.8/23150, intron 21 of 22)	3	9.35774665460557e-05
Intron (ENST00000697408.2/114548, intron 3 of 11)	3	9.35774665460557e-05
Intron (ENST00000476620.1/54749, intron 2 of 3)	3	9.35774665460557e-05
Intron (ENST00000644939.1/26053, intron 4 of 18)	3	9.35774665460557e-05
Intron (ENST00000304032.13/116987, intron 16 of 17)	3	9.35774665460557e-05
Intron (ENST00000523741.5/286053, intron 4 of 4)	3	9.35774665460557e-05
Exon (ENST00000662493.1/101930010, exon 3 of 3)	3	9.35774665460557e-05
Intron (ENST00000456170.6/79033, intron 5 of 6)	3	9.35774665460557e-05
Intron (ENST00000414976.1/ENST00000414976.1, intron 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000690805.1/ENST00000690805.1, exon 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000637138.1/23108, intron 3 of 25)	3	9.35774665460557e-05
Intron (ENST00000440067.4/222235, intron 7 of 20)	3	9.35774665460557e-05
Exon (ENST00000669136.1/125144, exon 6 of 8)	3	9.35774665460557e-05
Intron (ENST00000514587.1/124900191, intron 3 of 3)	3	9.35774665460557e-05
Intron (ENST00000522917.5/654463, intron 32 of 40)	3	9.35774665460557e-05
Exon (ENST00000363391.1/ENST00000363391.1, exon 1 of 1)	3	9.35774665460557e-05
Exon (ENST00000507058.1/ENST00000507058.1, exon 3 of 3)	3	9.35774665460557e-05
Exon (ENST00000617811.5/6928, exon 5 of 9)	3	9.35774665460557e-05
Intron (ENST00000637138.1/23108, intron 5 of 25)	3	9.35774665460557e-05
Intron (ENST00000222345.11/23094, intron 1 of 21)	3	9.35774665460557e-05
Intron (ENST00000673621.2/22906, intron 3 of 16)	3	9.35774665460557e-05
Exon (ENST00000656621.1/ENST00000656621.1, exon 1 of 2)	3	9.35774665460557e-05
Intron (ENST00000405271.5/4072, intron 1 of 9)	3	9.35774665460557e-05
Intron (ENST00000644013.1/541471, intron 1 of 7)	3	9.35774665460557e-05
Intron (ENST00000285039.12/4645, intron 29 of 39)	3	9.35774665460557e-05
Intron (ENST00000314565.9/118426, intron 2 of 3)	3	9.35774665460557e-05
Intron (ENST00000320892.11/9781, intron 8 of 8)	3	9.35774665460557e-05
Exon (ENST00000646743.1/79977, exon 6 of 16)	3	9.35774665460557e-05
Intron (ENST00000375980.9/79180, intron 1 of 3)	3	9.35774665460557e-05
