cluster	gene	avg_log_normalized_expression	pct_expressing	cluster_cell_count
10	CD3E	0.0465627441677006	0.0835902706406304	2919
10	TRAC	0.0566529893352836	0.0904419321685509	2919
10	CD4	0.178404049375588	0.177800616649538	2919
10	IL7R	0.127996763065176	0.139773895169579	2919
10	CCR7	0.0110573846178554	0.0195272353545735	2919
10	LTB	0.0278847587969502	0.0496745460774238	2919
10	MALAT1	2.41638869864799	0.909558067831449	2919
10	FOXP3	0.00734748556405698	0.0167865707434053	2919
10	IL2RA	0.0156935722178686	0.0373415553271668	2919
10	CTLA4	0.0145387614124979	0.0277492291880781	2919
10	CD8A	0.0245229624319555	0.0387118876327509	2919
10	CD8B	0.00610835345848779	0.0147310722850291	2919
10	GZMK	0.0131601361237675	0.0219253168893457	2919
10	CCL5	0.208907823782442	0.339157245632066	2919
10	NKG7	0.0427088136317761	0.0781089414182939	2919
10	GNLY	0.0466690684523967	0.0859883521754025	2919
10	GZMB	0.0290106611515298	0.0517300445357999	2919
10	PRF1	0.0185961790575687	0.0315176430284344	2919
10	KLRD1	0.0567837435380996	0.140116478245975	2919
10	FCER1G	0.103856949691651	0.147995889003083	2919
10	TRDC	0.00307092618878623	0.00479616306954436	2919
10	MS4A1	0.0271169616438053	0.0332305584104145	2919
10	CD79A	0.0426797399584775	0.0798218568002741	2919
10	CD74	0.623880372059795	0.489893799246317	2919
10	CD37	0.0558797048694663	0.0928400137033231	2919
10	CD27	0.0123915481864351	0.0253511476533059	2919
10	MZB1	0.104614233013448	0.177458033573142	2919
10	JCHAIN	0.737643610867653	0.670435080507023	2919
10	XBP1	0.546183274077808	0.437136005481329	2919
10	SDC1	0.0403445130264077	0.0671462829736211	2919
10	LYZ	0.398389621340248	0.406646111682083	2919
10	LST1	0.0568535095810314	0.0842754367934224	2919
10	S100A8	0.197392034741764	0.173689619732785	2919
10	S100A9	0.30322460334223	0.272010962658445	2919
10	FCGR3A	0.0676145563237519	0.101404590613224	2919
10	VCAN	0.859898285190171	0.436450839328537	2919
10	C1QA	0.0867447240512886	0.140116478245975	2919
10	C1QB	0.0988990459239726	0.159643713600548	2919
10	C1QC	0.0808891969644676	0.138060979787598	2919
10	APOE	0.786573748054238	0.432339842411785	2919
10	SPP1	0.0359545884707467	0.0681740322028092	2919
10	CD1C	0.00268173755350716	0.00342583076396026	2919
10	CLEC10A	0.0094669654658197	0.0184994861253854	2919
10	FCER1A	0.00209630357149486	0.00548132922233642	2919
10	CLEC9A	0.00132610020173972	0.00239808153477218	2919
10	XCR1	0.000670800506642863	0.000685166152792052	2919
10	IL3RA	0.0107998429342598	0.0226104830421377	2919
10	LAMP3	0.00852449919275093	0.0178143199725934	2919
10	FSCN1	0.189041745673819	0.201096265844467	2919
10	CCL19	0.0450332103322747	0.0284343953408702	2919
10	TPSAB1	0.0918144064445667	0.172661870503597	2919
10	TPSB2	0.157954491676387	0.241863651935594	2919
10	CPA3	0.0582713215671048	0.124700239808153	2919
10	KIT	0.0270978676106029	0.039054470709147	2919
10	MKI67	0.0176580891651682	0.0239808153477218	2919
10	TOP2A	0.0239752984206316	0.0277492291880781	2919
10	STMN1	0.265262841549633	0.247344981157931	2919
10	EPCAM	0.0399825761284987	0.0839328537170264	2919
10	KRT8	0.20013346818007	0.292908530318602	2919
10	KRT18	0.359779957662727	0.321685508735868	2919
10	KRT19	0.0672900681869574	0.13189448441247	2919
10	COL1A1	2.56309484134387	0.821514217197671	2919
10	COL1A2	2.89843667805626	0.89140116478246	2919
10	COL3A1	3.11308773541186	0.899623158615965	2919
10	RGS5	2.74058656504282	0.648167180541281	2919
10	PECAM1	0.0503682823633413	0.0966084275436793	2919
10	VWF	0.0186586097149331	0.0387118876327509	2919
10	PLVAP	0.0504021631652114	0.0859883521754025	2919
11	CD3D	0.142239006849104	0.25278524779101	2603
11	CD3E	0.155191151728252	0.306569343065693	2603
11	TRAC	0.180617347408312	0.301190933538225	2603
11	CD4	0.0254162787599694	0.0852862082212831	2603
11	IL7R	0.0117423819324725	0.0303495966192854	2603
11	CCR7	0.00453903203291666	0.012677679600461	2603
11	LTB	0.0152802094151094	0.031886285055705	2603
11	MALAT1	1.93630755499254	0.955436035343834	2603
11	FOXP3	0.00158172305861634	0.00806761429120246	2603
11	IL2RA	0.0102046846198976	0.0353438340376489	2603
11	CTLA4	0.0506042503047082	0.114099116404149	2603
11	CD8A	0.173879105603553	0.289665770265079	2603
11	CD8B	0.054880403417778	0.0941221667306954	2603
11	GZMK	0.121945593624063	0.212063004225893	2603
11	CCL5	0.725484820289727	0.851709565885517	2603
11	NKG7	0.286184671101853	0.471379177871687	2603
11	GNLY	0.0308427020187281	0.0806761429120246	2603
11	GZMB	0.136087966680885	0.258163657318479	2603
11	PRF1	0.0990896082784998	0.201306185170957	2603
11	KLRD1	0.0468175851730568	0.139454475605071	2603
11	FCER1G	0.10174153733136	0.31655781790242	2603
11	TRDC	0.00481081733376054	0.0115251632731464	2603
11	MS4A1	0.00347204976870243	0.00576258163657319	2603
11	CD79A	0.00492329304954403	0.00883595850941222	2603
11	CD74	2.39977613236714	0.958509412216673	2603
11	CD37	0.0620677993341123	0.136765270841337	2603
11	CD27	0.0335326577984442	0.057241644256627	2603
11	MZB1	0.0109875219296816	0.0238186707645025	2603
11	JCHAIN	0.00896476414093112	0.0188244333461391	2603
11	XBP1	0.559450446810124	0.591240875912409	2603
11	SDC1	0.954712512259835	0.810987322320399	2603
11	LYZ	0.332004613467772	0.68190549366116	2603
11	LST1	0.0356016979526104	0.112178255858625	2603
11	S100A8	4.35218412947604	0.995389934690741	2603
11	S100A9	4.81432068410262	0.996158278908951	2603
11	FCGR3A	0.097434409914535	0.286208221283135	2603
11	VCAN	0.00469144273231473	0.0172877449097196	2603
11	C1QA	0.140589932503603	0.407990779869381	2603
11	C1QB	0.282372820721788	0.631578947368421	2603
11	C1QC	0.179590288019551	0.497887053399923	2603
11	APOE	0.207656197880664	0.54091432961967	2603
11	SPP1	0.0427404597117182	0.162504802151364	2603
11	CD1C	0.00208843549390933	0.00845178640030734	2603
11	CLEC10A	0.0176147002395402	0.0756819054936612	2603
11	FCER1A	0.00223948316140104	0.00883595850941222	2603
11	CLEC9A	0.00204937564425445	0.00614675374567806	2603
11	XCR1	0.000377648632767881	0.00192086054552439	2603
11	IL3RA	0.00422578683171392	0.019208605455244	2603
11	LAMP3	0.141953119622999	0.279677295428352	2603
11	FSCN1	0.586436706980613	0.638109873223204	2603
11	CCL19	0.000688841298119364	0.00268920476373415	2603
11	TPSAB1	0.130695695685742	0.413753361505955	2603
11	TPSB2	0.154746406627504	0.471763349980791	2603
11	CPA3	0.114980574234013	0.377257011140991	2603
11	KIT	0.0120103604009745	0.0441797925470611	2603
11	MKI67	0.112079100453433	0.227814060699193	2603
11	TOP2A	0.109323268684686	0.197848636189013	2603
11	STMN1	0.383875616150939	0.542835190165194	2603
11	EPCAM	0.0919810727528569	0.192086054552439	2603
11	KRT8	0.435959586006115	0.603534383403765	2603
11	KRT18	0.527292173137373	0.672685363042643	2603
11	KRT19	2.7580472530467	0.965424510180561	2603
11	COL1A1	0.0292777709305832	0.0883595850941222	2603
