gene	cluster	avgExpr	logFC	statistic	auc	pval	padj	pct_in	pct_out	resolution	positive_direction	passes_primary_filter	rank
RGS1	23	4.67705654443901	3.44370922983949	10797867	0.950397661559911	4.80353843859163e-77	2.9597230829308e-74	100	52.6682316118936	0.8	TRUE	TRUE	8
TACSTD2	23	1.98641094359069	1.81241522958032	10782203.5	0.94901900466667	0	0	97.6377952755906	7.17080259333781	0.8	TRUE	TRUE	9
CSTA	23	1.8695794816048	1.67130968720726	10746649.5	0.945889642315837	3.78378268056928e-206	8.15988500825933e-203	98.4251968503937	12.0411357031075	0.8	TRUE	TRUE	10
MT-CO2	24	4.75873809682795	1.3664766691993	4005740	0.798953115999726	9.28572571589171e-15	5.16775597717642e-12	98.2142857142857	92.8884967218059	0.8	TRUE	TRUE	1
MTATP6P1	24	2.80422941891072	1.25879414145119	3941450.5	0.786130442448506	7.77672876262362e-14	3.94607990752069e-11	94.6428571428571	74.9260032837788	0.8	TRUE	TRUE	2
SNORC	24	0.956036260397718	0.944850050502207	3919070	0.781666605501367	0	0	57.1428571428571	1.08118975550368	0.8	TRUE	TRUE	3
MTND2P28	24	2.67704499207703	1.15392726865443	3905433.5	0.778946777413091	3.56401952467163e-13	1.74021658998518e-10	89.2857142857143	77.3475109180061	0.8	TRUE	TRUE	4
MT-ND4	24	4.57132079259198	1.26699530851113	3903521	0.778565325338231	5.19143922828245e-13	2.51115252465621e-10	98.2142857142857	92.9689157945293	0.8	TRUE	TRUE	5
RPLP0	24	3.04364201874917	1.413770947211	3874398.5	0.772756782566932	5.75595772449755e-13	2.73312939400752e-10	89.2857142857143	66.4071662329249	0.8	TRUE	TRUE	6
RPL8	24	2.80928821081853	1.35369129496639	3873475.5	0.772572688310673	5.54611722382065e-13	2.65787397364153e-10	89.2857142857143	65.6420681104869	0.8	TRUE	TRUE	7
RPS18	24	3.37892813162824	1.29274747170701	3732411	0.744437082447101	1.66075106359451e-10	5.96913144433757e-08	94.6428571428571	74.1553205035127	0.8	TRUE	TRUE	8
TPT1	24	3.94358409435176	0.92761574036676	3720108	0.741983223687885	3.55536090588025e-10	1.23499875440029e-07	98.2142857142857	92.2261563034033	0.8	TRUE	TRUE	9
MIF	24	1.78387641825937	1.13842425338866	3696101	0.737194977956558	1.15298404320794e-11	4.93181777886887e-09	75	43.5703834426065	0.8	TRUE	TRUE	10
EEF1A1	0	4.0703233640336	1.00975755738265	592761556	0.705098522438498	0	0	92.2159624413146	86.8464725033888	1.0	TRUE	TRUE	1
RPS27	0	2.77913920712751	0.930090740731337	586609481	0.697780539434163	0	0	87.6525821596244	76.8131547943297	1.0	TRUE	TRUE	2
RPLP1	0	3.34938312099746	0.951019716105688	586508941.5	0.697660946231502	0	0	88.169014084507	79.1643969241294	1.0	TRUE	TRUE	3
RPL13A	0	2.96279566626865	0.97123138963641	584990299	0.695854498812597	0	0	86.2065727699531	73.7499524937608	1.0	TRUE	TRUE	4
RPLP2	0	2.51546733087167	0.909108765911862	582632375	0.693049713799815	0	0	84.0093896713615	69.7530942397102	1.0	TRUE	TRUE	5
PTMA	0	2.88129969320935	0.933300648094094	578497334.5	0.688131022772603	0	0	87.0328638497653	74.4201071740755	1.0	TRUE	TRUE	6
RPL23A	0	2.44594800954659	0.90374652328067	577985594.5	0.687522300573566	0	0	82.4225352112676	66.8634480661794	1.0	TRUE	TRUE	7
TRBC2	0	1.502314605203	1.01918877828215	571141894.5	0.679381619537206	0	0	57.3990610328639	28.0476835957789	1.0	TRUE	TRUE	8
RPS12	0	2.73744059763422	0.914512134192355	567982206	0.675623123949622	0	0	83.5868544600939	70.1825506416509	1.0	TRUE	TRUE	9
RPL13	0	3.01179522770085	0.911290643028736	565891380.5	0.673136056500992	0	0	85.3333333333334	72.9607155073033	1.0	TRUE	TRUE	10
IFITM2	1	3.98099906041202	2.18810967827306	651436506.5	0.826848988836476	0	0	94.6889226100152	73.244084213696	1.0	TRUE	TRUE	1
NAMPT	1	3.56122328976617	2.05395956402518	644016824	0.817431406445255	0	0	94.4967121901872	62.556773983087	1.0	TRUE	TRUE	2
S100A9	1	4.36646249718411	2.67266951478989	640471666	0.812931642802418	0	0	93.5761254425898	54.7037715490201	1.0	TRUE	TRUE	3
CSF3R	1	2.80337105836472	1.98419023003077	638270464	0.810137722551152	0	0	85.8877086494689	36.7393540940002	1.0	TRUE	TRUE	4
