dataset_id	p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene	marker_rank
GSE178318	3.84882847644627e-105	2.32512713079382	0.525	0.268	1.29551566517181e-100	5	NEU1	35
GSE178318	5.95297666807788e-229	2.27296146570189	0.839	0.512	2.00377194647502e-224	5	DNAJA1	36
GSE178318	2.25241647238586e-34	2.27142290504944	0.113	0.033	7.58163384605082e-30	5	SLF1	37
GSE178318	8.92165110984401e-201	2.26280452790637	0.773	0.405	3.00302776357349e-196	5	RGS2	38
GSE178318	6.55857110892594e-58	2.21801002703173	0.328	0.148	2.20761503526447e-53	5	GADD45G	39
GSE178318	4.01115031161273e-18	2.18516499831905	0.127	0.059	1.35015319488885e-13	5	MID1IP1	40
GSE178318	1.25605543883628e-289	2.16109073649639	0.868	0.394	4.22788260712293e-285	5	HSPB1	41
GSE178318	1.04853720578566e-39	2.15737926363931	0.239	0.108	3.52937623467454e-35	5	ABHD3	42
GSE178318	3.15992185941447e-248	2.14040791138778	0.539	0.125	1.06362969787891e-243	5	GZMK	43
GSE178318	9.31305784273061e-16	2.13842464257821	0.119	0.057	3.13477526986312e-11	5	NMB	44
GSE178318	1.2583257985281e-37	2.12949770179325	0.123	0.036	4.23552463784557e-33	5	EOMES	45
GSE178318	2.92442899958843e-50	2.1289332271155	0.224	0.083	9.84362801261464e-46	5	PTTG1	46
GSE178318	2.64046689024286e-41	2.12381792228857	0.122	0.033	8.88781155255747e-37	5	CD5	47
GSE178318	2.59001526269587e-66	2.10508099440568	0.181	0.046	8.71799137423431e-62	5	CD8B	48
GSE178318	9.62636962971407e-43	2.09798814770442	0.219	0.088	3.24023601736175e-38	5	HIST3H2A	49
GSE178318	1.06494389473632e-44	2.08077979082249	0.16	0.05	3.58460114968245e-40	5	JAML	50
GSE178318	8.21189958872427e-227	6.865098732819	0.102	0.001	2.76412540156459e-222	6	TCL1B	1
GSE178318	0	6.37348014458132	0.183	0.002	0	6	RP11-164H13.1	2
GSE178318	0	5.81298987225939	0.76	0.016	0	6	TCL1A	3
GSE178318	5.08750570420917e-193	4.85759613729005	0.135	0.005	1.71245442003681e-188	6	RP11-428G5.5	4
GSE178318	0	4.79308103096389	0.594	0.032	0	6	FCER2	5
