gene_symbol	program	spatial_sample	tissue_site	lesion_type	present
COL3A1	fibroblast_ecm	L1	liver tissue	liver metastatic tumor sample 1	TRUE
DCN	fibroblast_ecm	L1	liver tissue	liver metastatic tumor sample 1	TRUE
LUM	fibroblast_ecm	L1	liver tissue	liver metastatic tumor sample 1	TRUE
PRELP	fibroblast_ecm	L1	liver tissue	liver metastatic tumor sample 1	TRUE
CD3D	immune_context	L1	liver tissue	liver metastatic tumor sample 1	TRUE
LYZ	immune_context	L1	liver tissue	liver metastatic tumor sample 1	TRUE
PTPRC	immune_context	L1	liver tissue	liver metastatic tumor sample 1	TRUE
ACTA2	pericyte_smc	L1	liver tissue	liver metastatic tumor sample 1	TRUE
CSPG4	pericyte_smc	L1	liver tissue	liver metastatic tumor sample 1	TRUE
MCAM	pericyte_smc	L1	liver tissue	liver metastatic tumor sample 1	TRUE
PDGFRB	pericyte_smc	L1	liver tissue	liver metastatic tumor sample 1	TRUE
RGS5	pericyte_smc	L1	liver tissue	liver metastatic tumor sample 1	TRUE
ACTA2	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
FAP	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
MMP11	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
MMP2	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
POSTN	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
THBS2	caf_activation	L2	liver tissue	liver metastatic tumor sample 2	TRUE
KDR	endothelial	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PECAM1	endothelial	L2	liver tissue	liver metastatic tumor sample 2	TRUE
VWF	endothelial	L2	liver tissue	liver metastatic tumor sample 2	TRUE
EPCAM	epithelial_tumor	L2	liver tissue	liver metastatic tumor sample 2	TRUE
KRT18	epithelial_tumor	L2	liver tissue	liver metastatic tumor sample 2	TRUE
KRT19	epithelial_tumor	L2	liver tissue	liver metastatic tumor sample 2	FALSE
KRT8	epithelial_tumor	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL1A1	f01_prelp	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL1A2	f01_prelp	L2	liver tissue	liver metastatic tumor sample 2	TRUE
DCN	f01_prelp	L2	liver tissue	liver metastatic tumor sample 2	TRUE
LUM	f01_prelp	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PRELP	f01_prelp	L2	liver tissue	liver metastatic tumor sample 2	TRUE
ACTA2	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CSPG4	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
MCAM	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PDGFRB	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
RGS5	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
TAGLN	f02_mcam	L2	liver tissue	liver metastatic tumor sample 2	TRUE
C3	f03_cxcl14	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CFD	f03_cxcl14	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CXCL12	f03_cxcl14	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CXCL14	f03_cxcl14	L2	liver tissue	liver metastatic tumor sample 2	TRUE
SFRP1	f03_cxcl14	L2	liver tissue	liver metastatic tumor sample 2	TRUE
C3	f04_c3	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CCL2	f04_c3	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CFD	f04_c3	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CXCL12	f04_c3	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COCH	f05_coch	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL14A1	f05_coch	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PI16	f05_coch	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CENPF	f06_cycling	L2	liver tissue	liver metastatic tumor sample 2	TRUE
MKI67	f06_cycling	L2	liver tissue	liver metastatic tumor sample 2	TRUE
TOP2A	f06_cycling	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL1A1	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL1A2	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
COL3A1	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
DCN	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
LUM	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PRELP	fibroblast_ecm	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CD3D	immune_context	L2	liver tissue	liver metastatic tumor sample 2	TRUE
LYZ	immune_context	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PTPRC	immune_context	L2	liver tissue	liver metastatic tumor sample 2	TRUE
ACTA2	pericyte_smc	L2	liver tissue	liver metastatic tumor sample 2	TRUE
CSPG4	pericyte_smc	L2	liver tissue	liver metastatic tumor sample 2	TRUE
MCAM	pericyte_smc	L2	liver tissue	liver metastatic tumor sample 2	TRUE
PDGFRB	pericyte_smc	L2	liver tissue	liver metastatic tumor sample 2	TRUE
RGS5	pericyte_smc	L2	liver tissue	liver metastatic tumor sample 2	TRUE
