gene_symbol	cluster	mean_log_norm	pct_expr	program
COL1A1	E04_endothelial_CD36	0.941828968132305	0.477611940298507	fibroblast_ecm
COL1A2	E04_endothelial_CD36	0.447486289216828	0.261194029850746	fibroblast_ecm
COL3A1	E04_endothelial_CD36	0.568909214219767	0.324626865671642	fibroblast_ecm
DCN	E04_endothelial_CD36	0.192853013309795	0.115671641791045	fibroblast_ecm
LUM	E04_endothelial_CD36	0.0847866054855396	0.0559701492537313	fibroblast_ecm
PRELP	E04_endothelial_CD36	0.0164672480990884	0.0149253731343284	fibroblast_ecm
CD3D	E04_endothelial_CD36	0.00250847467747702	0.00373134328358209	immune_context
LYZ	E04_endothelial_CD36	0.0653522203495403	0.0485074626865672	immune_context
PTPRC	E04_endothelial_CD36	0	0	immune_context
ACTA2	E04_endothelial_CD36	0.228442553694548	0.130597014925373	pericyte_smc
CSPG4	E04_endothelial_CD36	0.010091776489728	0.00746268656716418	pericyte_smc
MCAM	E04_endothelial_CD36	1.03851283688882	0.529850746268657	pericyte_smc
PDGFRB	E04_endothelial_CD36	0.052148891013418	0.0298507462686567	pericyte_smc
RGS5	E04_endothelial_CD36	0.241277778347037	0.115671641791045	pericyte_smc
ACTA2	E05_cycling_MKI67	0.0720592188657404	0.0714285714285714	caf_activation
FAP	E05_cycling_MKI67	0.338642233145305	0.303571428571429	caf_activation
MMP11	E05_cycling_MKI67	0.018056918902569	0.0178571428571429	caf_activation
MMP2	E05_cycling_MKI67	1.28863849190823	0.660714285714286	caf_activation
POSTN	E05_cycling_MKI67	0.0656738996633294	0.0535714285714286	caf_activation
THBS2	E05_cycling_MKI67	0.0596868131966788	0.0535714285714286	caf_activation
KDR	E05_cycling_MKI67	0.755313164969749	0.517857142857143	endothelial
PECAM1	E05_cycling_MKI67	2.11222745445872	0.857142857142857	endothelial
VWF	E05_cycling_MKI67	0.689755313556818	0.464285714285714	endothelial
EPCAM	E05_cycling_MKI67	0.228609111855118	0.160714285714286	epithelial_tumor
KRT18	E05_cycling_MKI67	0.155864723105379	0.142857142857143	epithelial_tumor
KRT19	E05_cycling_MKI67	0.027575759556023	0.0357142857142857	epithelial_tumor
KRT8	E05_cycling_MKI67	0.133397937230884	0.142857142857143	epithelial_tumor
COL1A1	E05_cycling_MKI67	0.414219148412689	0.339285714285714	f01_prelp
COL1A2	E05_cycling_MKI67	0.279512086821695	0.214285714285714	f01_prelp
DCN	E05_cycling_MKI67	0.0297095503845108	0.0178571428571429	f01_prelp
LUM	E05_cycling_MKI67	0.0268203945636965	0.0178571428571429	f01_prelp
PRELP	E05_cycling_MKI67	0	0	f01_prelp
ACTA2	E05_cycling_MKI67	0.0720592188657404	0.0714285714285714	f02_mcam
CSPG4	E05_cycling_MKI67	0.0137805730096825	0.0178571428571429	f02_mcam
MCAM	E05_cycling_MKI67	1.66659118146824	0.839285714285714	f02_mcam
PDGFRB	E05_cycling_MKI67	0	0	f02_mcam
RGS5	E05_cycling_MKI67	0.1490381494829	0.107142857142857	f02_mcam
TAGLN	E05_cycling_MKI67	0.186752242794251	0.178571428571429	f02_mcam
C3	E05_cycling_MKI67	0.0405864424139576	0.0357142857142857	f03_cxcl14
CFD	E05_cycling_MKI67	0	0	f03_cxcl14
CXCL12	E05_cycling_MKI67	0.313667753600459	0.232142857142857	f03_cxcl14
CXCL14	E05_cycling_MKI67	0.206606059182358	0.178571428571429	f03_cxcl14
SFRP1	E05_cycling_MKI67	0.0676654388026715	0.0714285714285714	f03_cxcl14
C3	E05_cycling_MKI67	0.0405864424139576	0.0357142857142857	f04_c3
CCL2	E05_cycling_MKI67	0.965725358576688	0.446428571428571	f04_c3
CFD	E05_cycling_MKI67	0	0	f04_c3
CXCL12	E05_cycling_MKI67	0.313667753600459	0.232142857142857	f04_c3
COCH	E05_cycling_MKI67	0	0	f05_coch
COL14A1	E05_cycling_MKI67	0	0	f05_coch
PI16	E05_cycling_MKI67	0.016239049365074	0.0178571428571429	f05_coch
CENPF	E05_cycling_MKI67	1.18937093984703	0.678571428571429	f06_cycling
MKI67	E05_cycling_MKI67	1.25346173389128	0.732142857142857	f06_cycling
TOP2A	E05_cycling_MKI67	1.09135616026599	0.571428571428571	f06_cycling
COL1A1	E05_cycling_MKI67	0.414219148412689	0.339285714285714	fibroblast_ecm
COL1A2	E05_cycling_MKI67	0.279512086821695	0.214285714285714	fibroblast_ecm
COL3A1	E05_cycling_MKI67	0.340649186701396	0.267857142857143	fibroblast_ecm
DCN	E05_cycling_MKI67	0.0297095503845108	0.0178571428571429	fibroblast_ecm
LUM	E05_cycling_MKI67	0.0268203945636965	0.0178571428571429	fibroblast_ecm
PRELP	E05_cycling_MKI67	0	0	fibroblast_ecm
CD3D	E05_cycling_MKI67	0	0	immune_context
LYZ	E05_cycling_MKI67	0.116226241673108	0.107142857142857	immune_context
PTPRC	E05_cycling_MKI67	0	0	immune_context
ACTA2	E05_cycling_MKI67	0.0720592188657404	0.0714285714285714	pericyte_smc
CSPG4	E05_cycling_MKI67	0.0137805730096825	0.0178571428571429	pericyte_smc
MCAM	E05_cycling_MKI67	1.66659118146824	0.839285714285714	pericyte_smc
PDGFRB	E05_cycling_MKI67	0	0	pericyte_smc
RGS5	E05_cycling_MKI67	0.1490381494829	0.107142857142857	pericyte_smc
ACTA2	E06_endothelial_CLEC4G	0.24417383032135	0.19047619047619	caf_activation
FAP	E06_endothelial_CLEC4G	0.0245107691382667	0.0238095238095238	caf_activation
MMP11	E06_endothelial_CLEC4G	0	0	caf_activation
MMP2	E06_endothelial_CLEC4G	0.67751295496575	0.476190476190476	caf_activation
POSTN	E06_endothelial_CLEC4G	0.0245107691382667	0.0238095238095238	caf_activation
THBS2	E06_endothelial_CLEC4G	0.0388309205067098	0.0238095238095238	caf_activation
KDR	E06_endothelial_CLEC4G	1.38126136981269	0.714285714285714	endothelial
PECAM1	E06_endothelial_CLEC4G	1.1307373293714	0.666666666666667	endothelial
VWF	E06_endothelial_CLEC4G	0.353624053688214	0.166666666666667	endothelial
EPCAM	E06_endothelial_CLEC4G	0.104512936795178	0.0952380952380952	epithelial_tumor
KRT18	E06_endothelial_CLEC4G	0.188210117547286	0.142857142857143	epithelial_tumor
KRT19	E06_endothelial_CLEC4G	0	0	epithelial_tumor
KRT8	E06_endothelial_CLEC4G	0.19039413337048	0.142857142857143	epithelial_tumor
COL1A1	E06_endothelial_CLEC4G	0.635481734355623	0.333333333333333	f01_prelp
COL1A2	E06_endothelial_CLEC4G	0.607470643764965	0.30952380952381	f01_prelp
DCN	E06_endothelial_CLEC4G	0.0719557266948857	0.0476190476190476	f01_prelp
LUM	E06_endothelial_CLEC4G	0.231895911390037	0.119047619047619	f01_prelp
PRELP	E06_endothelial_CLEC4G	0	0	f01_prelp
ACTA2	E06_endothelial_CLEC4G	0.24417383032135	0.19047619047619	f02_mcam
CSPG4	E06_endothelial_CLEC4G	0	0	f02_mcam
MCAM	E06_endothelial_CLEC4G	0.753594346569274	0.5	f02_mcam
PDGFRB	E06_endothelial_CLEC4G	0	0	f02_mcam
RGS5	E06_endothelial_CLEC4G	0.0245107691382667	0.0238095238095238	f02_mcam
TAGLN	E06_endothelial_CLEC4G	0.221277440619904	0.0952380952380952	f02_mcam
C3	E06_endothelial_CLEC4G	0	0	f03_cxcl14
CFD	E06_endothelial_CLEC4G	0	0	f03_cxcl14
CXCL12	E06_endothelial_CLEC4G	0.0290197272440524	0.0238095238095238	f03_cxcl14
CXCL14	E06_endothelial_CLEC4G	0.326914935846331	0.261904761904762	f03_cxcl14
SFRP1	E06_endothelial_CLEC4G	0	0	f03_cxcl14
C3	E06_endothelial_CLEC4G	0	0	f04_c3
CCL2	E06_endothelial_CLEC4G	1.82449241438726	0.738095238095238	f04_c3
CFD	E06_endothelial_CLEC4G	0	0	f04_c3
CXCL12	E06_endothelial_CLEC4G	0.0290197272440524	0.0238095238095238	f04_c3
COCH	E06_endothelial_CLEC4G	0	0	f05_coch
COL14A1	E06_endothelial_CLEC4G	0	0	f05_coch
PI16	E06_endothelial_CLEC4G	0	0	f05_coch
CENPF	E06_endothelial_CLEC4G	0.0578359648105253	0.0476190476190476	f06_cycling
MKI67	E06_endothelial_CLEC4G	0	0	f06_cycling
