tar_member_name	extracted_absolute_path	member_size_bytes	geo_accession	sample_stem	file_role	matrix_format	extraction_verified
GSM6213984_Colon_MGI_291_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_features.tsv.gz	304728	GSM6213984	GSM6213984_Colon_MGI_291_v3	features	TSV gzip	TRUE
GSM6213984_Colon_MGI_291_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213984_Colon_MGI_291_v3_matrix.mtx.gz	30018366	GSM6213984	GSM6213984_Colon_MGI_291_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213985_Colon_MGI_292_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_barcodes.tsv.gz	37740	GSM6213985	GSM6213985_Colon_MGI_292_v3	barcodes	TSV gzip	TRUE
GSM6213985_Colon_MGI_292_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_features.tsv.gz	304728	GSM6213985	GSM6213985_Colon_MGI_292_v3	features	TSV gzip	TRUE
GSM6213985_Colon_MGI_292_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213985_Colon_MGI_292_v3_matrix.mtx.gz	21272344	GSM6213985	GSM6213985_Colon_MGI_292_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213986_Colon_MGI_301_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_barcodes.tsv.gz	31125	GSM6213986	GSM6213986_Colon_MGI_301_v3	barcodes	TSV gzip	TRUE
GSM6213986_Colon_MGI_301_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_features.tsv.gz	304728	GSM6213986	GSM6213986_Colon_MGI_301_v3	features	TSV gzip	TRUE
GSM6213986_Colon_MGI_301_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213986_Colon_MGI_301_v3_matrix.mtx.gz	18489389	GSM6213986	GSM6213986_Colon_MGI_301_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213987_Colon_MGI_302_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_barcodes.tsv.gz	41579	GSM6213987	GSM6213987_Colon_MGI_302_v3	barcodes	TSV gzip	TRUE
GSM6213987_Colon_MGI_302_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_features.tsv.gz	304728	GSM6213987	GSM6213987_Colon_MGI_302_v3	features	TSV gzip	TRUE
GSM6213987_Colon_MGI_302_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213987_Colon_MGI_302_v3_matrix.mtx.gz	22517877	GSM6213987	GSM6213987_Colon_MGI_302_v3	matrix	Matrix Market MTX gzip	TRUE
GSM6213988_Colon_MGI_303_v3_barcodes.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_barcodes.tsv.gz	51156	GSM6213988	GSM6213988_Colon_MGI_303_v3	barcodes	TSV gzip	TRUE
GSM6213988_Colon_MGI_303_v3_features.tsv.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_features.tsv.gz	304728	GSM6213988	GSM6213988_Colon_MGI_303_v3	features	TSV gzip	TRUE
GSM6213988_Colon_MGI_303_v3_matrix.mtx.gz	F:/pan-gi-ici-ccc-20260709/GSE205506/extracted/GSM6213988_Colon_MGI_303_v3_matrix.mtx.gz	43041960	GSM6213988	GSM6213988_Colon_MGI_303_v3	matrix	Matrix Market MTX gzip	TRUE
